IM,MaxDisp,MaxDrift,Drift_1001-1002,Drift_Nodo_1002-Nodo_1003,Drift_Nodo_1003-Nodo_1004,Drift_Nodo_1004-Nodo_1005,Drift_Nodo_1005-Nodo_1006,Drift_Nodo_1006-Nodo_1007,Drift_Nodo_1007-Nodo_1008,Archivo
5.200000,0.239612,1.321863,1.321863,1.030687,1.110917,1.144200,1.146600,1.128467,1.104333,Diafragmas_IDA_UX_5.2.csv
5.300000,0.251721,1.379817,1.379817,1.081277,1.169333,1.206167,1.210067,1.191200,1.165333,Diafragmas_IDA_UX_5.3.csv
5.400000,0.257551,1.409047,1.409047,1.100767,1.190320,1.229933,1.236267,1.220467,1.198233,Diafragmas_IDA_UX_5.4.csv
5.500000,0.287724,1.546203,1.546203,1.218330,1.332727,1.384700,1.397767,1.382333,1.357067,Diafragmas_IDA_UX_5.5.csv
5.600000,0.298522,1.638893,1.638893,1.276873,1.379267,1.423267,1.431333,1.413467,1.387633,Diafragmas_IDA_UX_5.6.csv
5.700000,0.307902,1.671617,1.671617,1.313807,1.427610,1.474767,1.481933,1.461200,1.432467,Diafragmas_IDA_UX_5.7.csv
5.800000,0.327921,1.772577,1.772577,1.396390,1.521833,1.573633,1.581200,1.558433,1.526633,Diafragmas_IDA_UX_5.8.csv
5.900000,0.414050,2.283433,2.283433,1.776833,1.916000,1.971933,1.979833,1.954833,1.918800,Diafragmas_IDA_UX_5.9.csv
6.000000,0.481638,2.695947,2.695947,2.075957,2.222200,2.280967,2.289967,2.264500,2.226900,Diafragmas_IDA_UX_6.0.csv
6.100000,0.546929,3.079027,3.079027,2.362807,2.519233,2.582067,2.592700,2.567000,2.528133,Diafragmas_IDA_UX_6.1.csv
6.200000,0.679173,3.791700,3.791700,2.928900,3.129967,3.212600,3.227767,3.197600,3.150567,Diafragmas_IDA_UX_6.2.csv
6.300000,0.781752,4.382967,4.382967,3.382967,3.602100,3.690033,3.706933,3.674100,3.621567,Diafragmas_IDA_UX_6.3.csv
6.400000,0.965694,5.386833,5.386833,4.176633,4.452500,4.562400,4.583467,4.545133,4.482833,Diafragmas_IDA_UX_6.4.csv
6.500000,1.114380,6.267100,6.267100,4.838900,5.140733,5.254033,5.269633,5.223000,5.152600,Diafragmas_IDA_UX_6.5.csv
6.600000,1.143790,6.438167,6.438167,4.972167,5.279200,5.392167,5.405500,5.356033,5.283100,Diafragmas_IDA_UX_6.6.csv
7.100000,1.211380,6.685933,6.685933,5.227767,5.602800,5.759633,5.780933,5.715033,5.624667,Diafragmas_IDA_UX_7.1.csv
7.200000,1.285260,7.112333,7.112333,5.546067,5.937867,6.100767,6.124000,6.057300,5.963667,Diafragmas_IDA_UX_7.2.csv
7.300000,0.949616,5.238733,5.238733,4.050000,4.369500,4.518300,4.548833,4.500267,4.428233,Diafragmas_IDA_UX_7.3.csv
