Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.034376,-0.100119,-0.177058,-0.259427,-0.344156,-0.429443,-0.514042,-0.597465
-0.034376,-0.100116,-0.177050,-0.259413,-0.344135,-0.429415,-0.514005,-0.597421
-0.034376,-0.100114,-0.177046,-0.259406,-0.344126,-0.429402,-0.513990,-0.597403
-0.034381,-0.100127,-0.177065,-0.259431,-0.344156,-0.429437,-0.514030,-0.597447
-0.034395,-0.100165,-0.177129,-0.259520,-0.344268,-0.429570,-0.514183,-0.597618
-0.034413,-0.100221,-0.177228,-0.259664,-0.344457,-0.429802,-0.514456,-0.597932
-0.034430,-0.100274,-0.177329,-0.259816,-0.344662,-0.430061,-0.514769,-0.598297
-0.034440,-0.100310,-0.177398,-0.259923,-0.344810,-0.430252,-0.515002,-0.598572
-0.034446,-0.100330,-0.177435,-0.259976,-0.344879,-0.430337,-0.515103,-0.598689
-0.034455,-0.100351,-0.177465,-0.260010,-0.344914,-0.430370,-0.515134,-0.598717
-0.034468,-0.100383,-0.177514,-0.260071,-0.344983,-0.430444,-0.515209,-0.598794
-0.034480,-0.100420,-0.177576,-0.260160,-0.345097,-0.430583,-0.515372,-0.598979
-0.034485,-0.100438,-0.177614,-0.260224,-0.345190,-0.430706,-0.515527,-0.599166
-0.034484,-0.100438,-0.177618,-0.260234,-0.345210,-0.430739,-0.515573,-0.599226
-0.034481,-0.100429,-0.177600,-0.260204,-0.345167,-0.430682,-0.515503,-0.599142
-0.034471,-0.100398,-0.177544,-0.260120,-0.345053,-0.430538,-0.515328,-0.598938
-0.034455,-0.100348,-0.177453,-0.259986,-0.344877,-0.430320,-0.515071,-0.598642
-0.034442,-0.100305,-0.177371,-0.259861,-0.344708,-0.430106,-0.514813,-0.598342
-0.034438,-0.100287,-0.177331,-0.259798,-0.344618,-0.429988,-0.514667,-0.598166
-0.034446,-0.100304,-0.177359,-0.259834,-0.344661,-0.430038,-0.514721,-0.598225
-0.034452,-0.100329,-0.177410,-0.259918,-0.344781,-0.430194,-0.514913,-0.598451
-0.034431,-0.100286,-0.177356,-0.259866,-0.344741,-0.430174,-0.514916,-0.598479
-0.034390,-0.100174,-0.177169,-0.259607,-0.344417,-0.429793,-0.514484,-0.597999
