Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.006450,-0.019139,-0.034581,-0.051501,-0.069132,-0.086922,-0.104491,-0.121717
-0.006455,-0.019154,-0.034608,-0.051540,-0.069183,-0.086983,-0.104563,-0.121800
-0.006462,-0.019175,-0.034646,-0.051596,-0.069257,-0.087076,-0.104673,-0.121927
-0.006473,-0.019208,-0.034704,-0.051680,-0.069366,-0.087210,-0.104831,-0.122108
-0.006491,-0.019260,-0.034793,-0.051807,-0.069530,-0.087409,-0.105063,-0.122372
-0.006511,-0.019319,-0.034899,-0.051962,-0.069734,-0.087660,-0.105361,-0.122714
-0.006527,-0.019368,-0.034990,-0.052100,-0.069920,-0.087896,-0.105645,-0.123046
-0.006534,-0.019395,-0.035042,-0.052179,-0.070029,-0.088037,-0.105817,-0.123249
-0.006536,-0.019401,-0.035052,-0.052192,-0.070045,-0.088055,-0.105839,-0.123274
-0.006537,-0.019400,-0.035044,-0.052173,-0.070012,-0.088005,-0.105772,-0.123190
-0.006540,-0.019405,-0.035045,-0.052166,-0.069993,-0.087972,-0.105724,-0.123127
-0.006543,-0.019410,-0.035054,-0.052177,-0.070006,-0.087987,-0.105739,-0.123143
-0.006539,-0.019403,-0.035045,-0.052170,-0.070005,-0.087993,-0.105754,-0.123166
-0.006532,-0.019383,-0.035014,-0.052129,-0.069956,-0.087938,-0.105695,-0.123104
-0.006525,-0.019362,-0.034973,-0.052068,-0.069872,-0.087832,-0.105567,-0.122955
-0.006514,-0.019329,-0.034914,-0.051980,-0.069754,-0.087684,-0.105389,-0.122748
-0.006501,-0.019289,-0.034841,-0.051873,-0.069613,-0.087510,-0.105183,-0.122511
-0.006493,-0.019262,-0.034789,-0.051793,-0.069505,-0.087372,-0.105016,-0.122316
-0.006494,-0.019260,-0.034783,-0.051781,-0.069484,-0.087340,-0.104973,-0.122261
-0.006505,-0.019292,-0.034837,-0.051857,-0.069582,-0.087460,-0.105112,-0.122419
-0.006516,-0.019329,-0.034911,-0.051973,-0.069743,-0.087667,-0.105364,-0.122715
-0.006505,-0.019312,-0.034899,-0.051977,-0.069771,-0.087725,-0.105454,-0.122836
-0.006479,-0.019241,-0.034780,-0.051812,-0.069565,-0.087483,-0.105182,-0.122535
-0.006459,-0.019174,-0.034646,-0.051599,-0.069265,-0.087093,-0.104701,-0.121968
-0.006447,-0.019125,-0.034544,-0.051431,-0.069022,-0.086768,-0.104293,-0.121477
-0.006440,-0.019100,-0.034493,-0.051352,-0.068913,-0.086629,-0.104124,-0.121278
-0.006457,-0.019142,-0.034563,-0.051453,-0.069045,-0.086790,-0.104313,-0.121495
-0.006505,-0.019280,-0.034806,-0.051803,-0.069501,-0.087347,-0.104966,-0.122239
-0.006573,-0.019484,-0.035174,-0.052346,-0.070220,-0.088240,-0.106027,-0.123462
-0.006634,-0.019681,-0.035544,-0.052907,-0.070981,-0.089203,-0.107189,-0.124817
-0.006681,-0.019836,-0.035838,-0.053351,-0.071582,-0.089966,-0.108112,-0.125896
-0.006717,-0.019947,-0.036035,-0.053635,-0.071952,-0.090419,-0.108647,-0.126512
-0.006732,-0.019992,-0.036111,-0.053735,-0.072071,-0.090553,-0.108794,-0.126672
-0.006717,-0.019949,-0.036031,-0.053614,-0.071907,-0.090346,-0.108546,-0.126384
-0.006665,-0.019798,-0.035764,-0.053227,-0.071403,-0.089730,-0.107824,-0.125561
-0.006576,-0.019536,-0.035299,-0.052553,-0.070522,-0.088650,-0.106552,-0.124104
-0.006459,-0.019188,-0.034673,-0.051635,-0.069311,-0.087151,-0.104776,-0.122060
-0.006317,-0.018763,-0.033911,-0.050519,-0.067839,-0.085330,-0.102615,-0.119570
-0.006158,-0.018287,-0.033059,-0.049273,-0.066201,-0.083307,-0.100220,-0.116815
-0.006013,-0.017845,-0.032259,-0.048097,-0.064644,-0.081375,-0.097922,-0.114163
-0.005900,-0.017496,-0.031630,-0.047174,-0.063421,-0.079852,-0.096104,-0.112058
-0.005820,-0.017256,-0.031208,-0.046568,-0.062634,-0.078888,-0.094967,-0.110751
-0.005780,-0.017142,-0.031019,-0.046313,-0.062321,-0.078520,-0.094547,-0.110280
-0.005783,-0.017157,-0.031066,-0.046406,-0.062466,-0.078718,-0.094798,-0.110580
-0.005816,-0.017266,-0.031285,-0.046753,-0.062947,-0.079336,-0.095548,-0.111458
-0.005854,-0.017401,-0.031555,-0.047179,-0.063539,-0.080096,-0.096474,-0.112544
-0.005883,-0.017505,-0.031767,-0.047513,-0.064004,-0.080696,-0.097209,-0.113411
-0.005886,-0.017533,-0.031832,-0.047621,-0.064160,-0.080903,-0.097467,-0.113720
-0.005866,-0.017477,-0.031734,-0.047475,-0.063963,-0.080655,-0.097171,-0.113378
-0.005838,-0.017386,-0.031555,-0.047192,-0.063566,-0.080141,-0.096541,-0.112636
-0.005815,-0.017304,-0.031388,-0.046924,-0.063187,-0.079646,-0.095928,-0.111909
-0.005801,-0.017252,-0.031285,-0.046764,-0.062965,-0.079360,-0.095579,-0.111497
-0.005796,-0.017238,-0.031263,-0.046736,-0.062936,-0.079329,-0.095547,-0.111464
-0.005816,-0.017293,-0.031362,-0.046884,-0.063134,-0.079579,-0.095847,-0.111812
-0.005875,-0.017460,-0.031652,-0.047300,-0.063671,-0.080231,-0.096608,-0.112678
-0.005977,-0.017754,-0.032168,-0.048042,-0.064634,-0.081406,-0.097985,-0.114248
-0.006121,-0.018176,-0.032913,-0.049123,-0.066050,-0.083147,-0.100040,-0.116606
-0.006307,-0.018724,-0.033887,-0.050539,-0.067907,-0.085435,-0.102744,-0.119713
-0.006531,-0.019389,-0.035068,-0.052253,-0.070152,-0.088198,-0.106008,-0.123461
-0.006789,-0.020155,-0.036421,-0.054210,-0.072708,-0.091339,-0.109714,-0.127714
-0.007042,-0.020916,-0.037779,-0.056185,-0.075300,-0.094536,-0.113500,-0.132069
-0.007220,-0.021480,-0.038811,-0.057714,-0.077338,-0.097086,-0.116551,-0.135610
-0.007286,-0.021709,-0.039244,-0.058370,-0.078233,-0.098230,-0.117949,-0.137257
-0.007214,-0.021515,-0.038905,-0.057878,-0.077594,-0.097455,-0.117050,-0.136243
-0.006979,-0.020826,-0.037672,-0.056072,-0.075213,-0.094515,-0.113572,-0.132251
-0.006576,-0.019632,-0.035538,-0.052951,-0.071106,-0.089444,-0.107573,-0.125359
