Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-2.63078e-06,-1.24024e-05,-2.94454e-05,-5.32751e-05,-8.32327e-05,-0.000118462,-0.000157909,-0.000200435
-3.11283e-06,-1.37619e-05,-3.1834e-05,-5.67217e-05,-8.76887e-05,-0.000123844,-0.000164131,-0.000207429
-3.64943e-06,-1.53738e-05,-3.48396e-05,-6.13021e-05,-9.39068e-05,-0.000131674,-0.000173493,-0.000218224
-4.64199e-06,-1.81273e-05,-3.96689e-05,-6.83335e-05,-0.00010314,-0.000143035,-0.00018687,-0.000233504
-6.20073e-06,-2.24999e-05,-4.73585e-05,-7.94852e-05,-0.000117666,-0.000160731,-0.000207506,-0.000256884
-7.67242e-06,-2.69314e-05,-5.56051e-05,-9.20012e-05,-0.00013458,-0.000181945,-0.000232792,-0.000285988
-8.24555e-06,-2.90601e-05,-6.01538e-05,-9.96253e-05,-0.000145688,-0.0001967,-0.000251147,-0.000307774
-7.61768e-06,-2.76241e-05,-5.81483e-05,-9.74053e-05,-0.000143616,-0.000195061,-0.000250108,-0.000307389
-6.30698e-06,-2.37204e-05,-5.09525e-05,-8.65782e-05,-0.000129105,-0.000177011,-0.000228768,-0.000283024
-5.27155e-06,-2.01503e-05,-4.36457e-05,-7.46738e-05,-0.000112112,-0.000154786,-0.000201449,-0.000250901
-5.11143e-06,-1.91341e-05,-4.09569e-05,-6.95914e-05,-0.000104103,-0.000143554,-0.000186935,-0.000233213
-5.50995e-06,-2.02837e-05,-4.29918e-05,-7.25105e-05,-0.000107811,-0.00014791,-0.000191796,-0.00023846
-5.58941e-06,-2.10739e-05,-4.52463e-05,-7.68636e-05,-0.000114695,-0.000157519,-0.000204104,-0.000253302
-5.51012e-06,-2.11264e-05,-4.58253e-05,-7.83981e-05,-0.00011756,-0.000161969,-0.000210237,-0.00026109
-5.51261e-06,-2.10334e-05,-4.55011e-05,-7.77248e-05,-0.000116465,-0.000160434,-0.000208296,-0.000258801
-4.93843e-06,-1.94115e-05,-4.25885e-05,-7.33654e-05,-0.000110573,-0.000152988,-0.000199335,-0.000248408
-4.12795e-06,-1.69656e-05,-3.80526e-05,-6.65282e-05,-0.000101409,-0.000141587,-0.000185839,-0.000232956
-4.05836e-06,-1.6379e-05,-3.64294e-05,-6.34414e-05,-9.65747e-05,-0.00013488,-0.000177268,-0.000222612
-5.02674e-06,-1.88433e-05,-4.03585e-05,-6.86005e-05,-0.000102647,-0.000141573,-0.000184379,-0.00023004
-7.06218e-06,-2.45894e-05,-5.05347e-05,-8.34619e-05,-0.000122126,-0.000165418,-0.000212265,-0.000261664
-8.47951e-06,-2.94193e-05,-6.02802e-05,-9.91102e-05,-0.000144164,-0.00019391,-0.000246969,-0.0003022
-6.42585e-06,-2.51022e-05,-5.48697e-05,-9.39786e-05,-0.000140523,-0.000192574,-0.000248289,-0.000306162
-2.16519e-06,-1.30408e-05,-3.36408e-05,-6.33653e-05,-0.000101055,-0.000145115,-0.00019372,-0.000245165
8.30823e-07,-2.73656e-06,-1.2602e-05,-2.91844e-05,-5.24186e-05,-8.1719e-05,-0.000116042,-0.000154079
