Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-0.00644964,-0.019139,-0.0345807,-0.051501,-0.069132,-0.0869216,-0.104491,-0.121717
-0.00645496,-0.0191543,-0.0346077,-0.0515401,-0.0691827,-0.0869833,-0.104563,-0.1218
-0.00646185,-0.0191751,-0.0346455,-0.051596,-0.0692571,-0.0870761,-0.104673,-0.121927
-0.00647348,-0.0192085,-0.0347038,-0.0516798,-0.0693661,-0.0872097,-0.104831,-0.122108
-0.0064914,-0.0192599,-0.0347929,-0.051807,-0.0695301,-0.0874087,-0.105063,-0.122372
-0.00651121,-0.0193191,-0.0348989,-0.0519618,-0.0697338,-0.0876602,-0.105361,-0.122714
-0.00652651,-0.0193682,-0.0349904,-0.0520998,-0.0699205,-0.0878962,-0.105645,-0.123046
-0.00653401,-0.0193946,-0.0350416,-0.0521788,-0.0700295,-0.0880366,-0.105817,-0.123249
-0.00653587,-0.0194007,-0.0350517,-0.0521919,-0.0700452,-0.088055,-0.105839,-0.123274
-0.00653707,-0.0194002,-0.0350445,-0.0521733,-0.070012,-0.0880052,-0.105772,-0.12319
-0.00654031,-0.0194046,-0.035045,-0.0521657,-0.0699928,-0.0879719,-0.105724,-0.123127
-0.0065428,-0.0194104,-0.0350537,-0.0521769,-0.070006,-0.0879866,-0.105739,-0.123143
-0.00653894,-0.0194026,-0.0350447,-0.0521703,-0.0700049,-0.0879929,-0.105754,-0.123166
-0.0065317,-0.0193834,-0.0350136,-0.0521291,-0.0699558,-0.0879382,-0.105695,-0.123104
-0.00652481,-0.0193619,-0.0349734,-0.0520679,-0.0698724,-0.0878324,-0.105567,-0.122955
-0.00651387,-0.0193291,-0.0349141,-0.0519799,-0.0697545,-0.0876843,-0.105389,-0.122748
-0.00650065,-0.0192888,-0.0348412,-0.0518729,-0.0696135,-0.0875101,-0.105183,-0.122511
-0.0064927,-0.0192617,-0.0347893,-0.0517934,-0.069505,-0.0873722,-0.105016,-0.122316
-0.00649359,-0.0192605,-0.0347832,-0.0517806,-0.0694835,-0.0873402,-0.104973,-0.122261
-0.00650506,-0.0192917,-0.0348367,-0.051857,-0.0695821,-0.0874598,-0.105112,-0.122419
-0.00651612,-0.0193294,-0.0349108,-0.0519733,-0.0697435,-0.0876671,-0.105364,-0.122715
-0.00650519,-0.0193122,-0.0348988,-0.0519767,-0.0697711,-0.0877247,-0.105454,-0.122836
-0.0064787,-0.0192409,-0.0347798,-0.0518117,-0.069565,-0.0874831,-0.105182,-0.122535
-0.00645948,-0.0191741,-0.0346465,-0.0515991,-0.0692651,-0.0870925,-0.104701,-0.121968
-0.00644671,-0.0191252,-0.0345441,-0.0514312,-0.0690219,-0.0867678,-0.104293,-0.121477
-0.00644015,-0.0190996,-0.0344928,-0.051352,-0.0689134,-0.0866291,-0.104124,-0.121278
-0.00645651,-0.0191417,-0.0345635,-0.051453,-0.0690448,-0.0867901,-0.104313,-0.121495
-0.00650541,-0.0192805,-0.0348064,-0.0518034,-0.0695006,-0.0873469,-0.104966,-0.122239
-0.00657305,-0.019484,-0.0351743,-0.0523463,-0.0702203,-0.0882402,-0.106027,-0.123462
-0.006634,-0.0196808,-0.0355444,-0.0529073,-0.0709812,-0.0892033,-0.107189,-0.124817
-0.00668139,-0.0198365,-0.0358379,-0.0533508,-0.0715824,-0.0899655,-0.108112,-0.125896
-0.00671661,-0.0199466,-0.036035,-0.053635,-0.0719522,-0.0904193,-0.108647,-0.126512
-0.00673213,-0.0199925,-0.0361109,-0.0537349,-0.0720708,-0.090553,-0.108794,-0.126672
-0.00671729,-0.0199495,-0.0360313,-0.0536139,-0.0719067,-0.090346,-0.108546,-0.126384
-0.00666481,-0.0197979,-0.0357636,-0.0532267,-0.0714027,-0.0897303,-0.107824,-0.125561
-0.00657561,-0.0195363,-0.0352993,-0.0525528,-0.0705218,-0.0886496,-0.106552,-0.124104
-0.00645898,-0.0191876,-0.0346732,-0.0516349,-0.069311,-0.0871514,-0.104776,-0.12206
-0.006317,-0.0187631,-0.0339115,-0.0505192,-0.0678394,-0.0853299,-0.102615,-0.11957
-0.00615788,-0.0182866,-0.0330586,-0.0492735,-0.0662012,-0.0833073,-0.10022,-0.116815
-0.00601344,-0.0178446,-0.032259,-0.0480972,-0.0646445,-0.081375,-0.0979217,-0.114163
-0.00590012,-0.0174964,-0.0316304,-0.0471736,-0.0634208,-0.0798519,-0.0961044,-0.112058
-0.00582001,-0.0172559,-0.0312076,-0.0465678,-0.0626343,-0.078888,-0.0949669,-0.110751
-0.00578038,-0.0171415,-0.0310187,-0.0463132,-0.0623209,-0.0785204,-0.0945474,-0.11028
-0.00578328,-0.0171573,-0.0310662,-0.0464061,-0.0624656,-0.0787185,-0.0947978,-0.11058
-0.00581551,-0.0172662,-0.031285,-0.0467528,-0.0629473,-0.0793361,-0.0955482,-0.111458
-0.00585427,-0.0174012,-0.0315553,-0.0471789,-0.0635388,-0.0800958,-0.0964736,-0.112544
-0.00588256,-0.0175053,-0.0317666,-0.0475128,-0.064004,-0.0806961,-0.0972086,-0.113411
-0.00588626,-0.0175326,-0.0318317,-0.0476214,-0.0641601,-0.0809027,-0.0974667,-0.11372
-0.00586599,-0.0174773,-0.0317339,-0.0474748,-0.0639626,-0.0806548,-0.0971707,-0.113378
-0.00583849,-0.0173863,-0.0315551,-0.047192,-0.0635662,-0.0801411,-0.0965407,-0.112636
-0.00581538,-0.0173039,-0.0313881,-0.0469244,-0.0631875,-0.0796458,-0.0959282,-0.111909
