Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-0.00627083,-0.0174598,-0.0318242,-0.0488769,-0.0673276,-0.086265,-0.104998,-0.1233
-0.0067691,-0.0190594,-0.034989,-0.0538649,-0.0742328,-0.0950869,-0.115678,-0.13576
-0.00749843,-0.0214027,-0.039484,-0.0607539,-0.0835861,-0.106892,-0.129871,-0.15226
-0.00838279,-0.0242,-0.0447037,-0.0685746,-0.0940468,-0.119968,-0.145502,-0.170374
-0.00931221,-0.0271278,-0.0500757,-0.0765061,-0.104555,-0.133025,-0.161054,-0.188366
-0.0101937,-0.029913,-0.0551507,-0.0839412,-0.114352,-0.145158,-0.175483,-0.205051
-0.0109706,-0.0323777,-0.0596249,-0.0904653,-0.122922,-0.155754,-0.188078,-0.219618
-0.0116308,-0.0344434,-0.0633344,-0.0958366,-0.129947,-0.164416,-0.198361,-0.231507
-0.0121842,-0.0360962,-0.0662207,-0.0999558,-0.135283,-0.170955,-0.206089,-0.240415
-0.012632,-0.0373418,-0.0682884,-0.102823,-0.138926,-0.175358,-0.211241,-0.246311
-0.0129501,-0.038163,-0.0695572,-0.104491,-0.140962,-0.177744,-0.213966,-0.249372
-0.0131112,-0.0385316,-0.0700378,-0.10502,-0.141503,-0.178276,-0.214484,-0.249876
-0.0131187,-0.0384634,-0.0697623,-0.104464,-0.140635,-0.177086,-0.212975,-0.248058
-0.0129868,-0.0379979,-0.0688099,-0.102952,-0.138538,-0.174405,-0.209727,-0.244265
-0.0127368,-0.0372082,-0.0673334,-0.100737,-0.135574,-0.170702,-0.205307,-0.239156
-0.0124254,-0.0362452,-0.0655759,-0.0981504,-0.132163,-0.166486,-0.200313,-0.233409
-0.0121071,-0.0352541,-0.063775,-0.0955152,-0.1287,-0.162215,-0.195258,-0.227594
-0.0118116,-0.0343385,-0.0621226,-0.0931062,-0.125539,-0.158315,-0.19064,-0.222276
-0.0115629,-0.0335816,-0.0607724,-0.0911476,-0.122973,-0.155152,-0.186892,-0.217958
-0.011384,-0.033044,-0.0598269,-0.08979,-0.121207,-0.152982,-0.184328,-0.215007
-0.0112719,-0.0327208,-0.059283,-0.0890383,-0.120258,-0.151844,-0.183004,-0.213502
-0.0112025,-0.0325433,-0.0590222,-0.0887241,-0.11991,-0.151474,-0.182618,-0.213098
-0.011181,-0.0325038,-0.0589978,-0.0887413,-0.119985,-0.151616,-0.18283,-0.213378
-0.0112256,-0.032643,-0.0592614,-0.0891385,-0.120515,-0.152274,-0.18361,-0.214277
-0.011319,-0.0329262,-0.0597738,-0.0898873,-0.121495,-0.153474,-0.185019,-0.215885
-0.0114407,-0.0332998,-0.0604529,-0.0908874,-0.122818,-0.155115,-0.186968,-0.218131
-0.0115945,-0.0337661,-0.0612911,-0.0921125,-0.124431,-0.15711,-0.189334,-0.220857
-0.0117792,-0.0343212,-0.0622787,-0.0935419,-0.126297,-0.1594,-0.192034,-0.223953
-0.0119685,-0.0348982,-0.0633104,-0.0950386,-0.128253,-0.161805,-0.194872,-0.227212
-0.0121266,-0.0353948,-0.0642112,-0.0963571,-0.129991,-0.163956,-0.197428,-0.230161
-0.0122438,-0.035763,-0.0648742,-0.0973208,-0.131256,-0.165521,-0.199286,-0.232306
-0.0123224,-0.0359969,-0.0652759,-0.0978819,-0.131969,-0.16638,-0.200287,-0.233448
-0.0123546,-0.0360808,-0.0653985,-0.0980281,-0.132129,-0.166548,-0.200461,-0.233628
-0.0123287,-0.035991,-0.0652162,-0.0977404,-0.131732,-0.166041,-0.199849,-0.232914
-0.0122368,-0.0357104,-0.0647061,-0.096993,-0.130751,-0.164836,-0.198428,-0.231287
-0.0120854,-0.0352514,-0.0638827,-0.0957981,-0.129192,-0.162927,-0.196184,-0.228721
-0.011891,-0.0346599,-0.0628197,-0.0942496,-0.127163,-0.160429,-0.193236,-0.225337
-0.0116599,-0.0339643,-0.0615775,-0.0924423,-0.124792,-0.157507,-0.189778,-0.221362
-0.0114076,-0.0332079,-0.060231,-0.0904869,-0.12223,-0.154351,-0.186046,-0.217071
-0.0111774,-0.0325055,-0.0589689,-0.088642,-0.1198,-0.151343,-0.182477,-0.212956
-0.010991,-0.0319346,-0.0579435,-0.0871437,-0.117824,-0.148893,-0.179561,-0.209584
-0.0108514,-0.0315149,-0.0572048,-0.0860837,-0.116446,-0.147204,-0.177565,-0.207289
-0.0107681,-0.0312714,-0.0567931,-0.0855141,-0.115728,-0.146343,-0.176567,-0.206156
-0.0107459,-0.0312157,-0.0567223,-0.0854456,-0.11567,-0.1463,-0.176538,-0.20614
-0.0107713,-0.0313098,-0.0569258,-0.0857816,-0.116148,-0.146921,-0.1773,-0.207036
-0.010818,-0.0314768,-0.0572648,-0.0863184,-0.116895,-0.147881,-0.17847,-0.208411
-0.010865,-0.0316456,-0.0576005,-0.0868412,-0.117616,-0.148805,-0.179595,-0.209731
-0.010892,-0.0317505,-0.0578116,-0.0871682,-0.118064,-0.149378,-0.180292,-0.21055
-0.0108959,-0.0317723,-0.0578558,-0.0872318,-0.118146,-0.149477,-0.180409,-0.210686
-0.0108923,-0.0317535,-0.0578066,-0.0871372,-0.117996,-0.149266,-0.180136,-0.210353
-0.0108906,-0.031734,-0.0577509,-0.0870303,-0.117826,-0.149025,-0.179823,-0.209967
-0.0108929,-0.0317315,-0.0577358,-0.0869973,-0.11777,-0.148944,-0.179714,-0.209831
-0.0109002,-0.0317529,-0.0577758,-0.0870601,-0.117858,-0.149058,-0.179854,-0.209996
-0.0109283,-0.0318337,-0.0579189,-0.0872691,-0.118134,-0.1494,-0.180261,-0.210466
-0.0109978,-0.0320292,-0.0582541,-0.0877422,-0.118739,-0.150129,-0.181107,-0.211424
-0.0111137,-0.0323617,-0.0588312,-0.0885646,-0.119798,-0.151413,-0.182605,-0.213128
-0.0112785,-0.032842,-0.0596738,-0.0897778,-0.121376,-0.153346,-0.184879,-0.215731
-0.0114973,-0.0334842,-0.060804,-0.0914085,-0.123503,-0.155956,-0.187955,-0.219258
-0.0117683,-0.0342858,-0.0622178,-0.0934475,-0.12616,-0.159212,-0.191791,-0.223654
-0.0120845,-0.0352286,-0.0638839,-0.0958493,-0.129286,-0.163043,-0.196301,-0.228823
-0.0124019,-0.0361955,-0.0656128,-0.098361,-0.132576,-0.167094,-0.201091,-0.234329
-0.0126506,-0.0369738,-0.067028,-0.100448,-0.135348,-0.170551,-0.20522,-0.239115
-0.0127855,-0.0374033,-0.0678122,-0.101613,-0.136912,-0.172525,-0.207608,-0.24191
-0.0127667,-0.0373628,-0.0677389,-0.101503,-0.136771,-0.172365,-0.207438,-0.241737
-0.012552,-0.0367337,-0.0666089,-0.0998432,-0.134584,-0.169664,-0.204244,-0.238071
-0.0121224,-0.0354586,-0.0643312,-0.0965248,-0.130235,-0.164315,-0.197936,-0.230841
-0.0115466,-0.0337139,-0.0611894,-0.0919272,-0.124186,-0.156852,-0.189109,-0.2207
-0.0109561,-0.0318821,-0.0578408,-0.0869647,-0.117582,-0.148617,-0.179281,-0.209324
-0.010409,-0.0301847,-0.0547387,-0.082363,-0.111443,-0.140937,-0.170079,-0.19863
-0.00991209,-0.0286721,-0.0520242,-0.0783987,-0.106223,-0.13447,-0.162384,-0.189728
-0.00949776,-0.0274316,-0.0498411,-0.0752646,-0.102153,-0.129485,-0.156503,-0.182966
-0.00919673,-0.0265458,-0.0483149,-0.0731081,-0.0993814,-0.126114,-0.152544,-0.178427
-0.0090176,-0.0260355,-0.0474712,-0.0719553,-0.0979344,-0.124382,-0.150533,-0.176139
-0.00895,-0.0258707,-0.0472576,-0.0717334,-0.097724,-0.124192,-0.150365,-0.175991
-0.00897773,-0.0260005,-0.0475789,-0.0722985,-0.0985551,-0.125296,-0.151738,-0.177626
-0.00906759,-0.0263227,-0.0482453,-0.0733652,-0.100043,-0.127207,-0.154065,-0.180354
-0.0092128,-0.0267908,-0.0491406,-0.0747293,-0.101886,-0.129526,-0.156848,-0.183585
-0.00945448,-0.0275057,-0.050413,-0.0765692,-0.104278,-0.132448,-0.160279,-0.18751
-0.0098042,-0.0285262,-0.0521981,-0.0791192,-0.107565,-0.136437,-0.164935,-0.19281
-0.0102602,-0.0298639,-0.0545472,-0.0824957,-0.11195,-0.141798,-0.171235,-0.200016
-0.0108359,-0.0315647,-0.0575464,-0.0868226,-0.117591,-0.148718,-0.179395,-0.209378
-0.0115389,-0.0336603,-0.0612555,-0.0921788,-0.124575,-0.157289,-0.189503,-0.22098
-0.012374,-0.036162,-0.0656889,-0.0985814,-0.132923,-0.167533,-0.201589,-0.23486
-0.0133371,-0.0389981,-0.0706782,-0.105796,-0.14236,-0.17916,-0.215359,-0.250729
-0.0143767,-0.0419843,-0.0758631,-0.11329,-0.152207,-0.191363,-0.229899,-0.267581
-0.0154066,-0.0449221,-0.0809236,-0.120572,-0.161762,-0.20321,-0.244035,-0.283985
-0.0163597,-0.0476449,-0.085598,-0.12726,-0.170489,-0.213986,-0.256848,-0.298813
-0.0171738,-0.0499726,-0.0895876,-0.132945,-0.177875,-0.223066,-0.267605,-0.311223
-0.0177726,-0.0516937,-0.092555,-0.137184,-0.18338,-0.229817,-0.275584,-0.320409
-0.0181387,-0.0527454,-0.0943674,-0.139771,-0.186737,-0.233933,-0.280447,-0.326007
-0.0182942,-0.0531773,-0.095069,-0.140724,-0.187933,-0.235369,-0.282122,-0.327921
-0.018214,-0.0529278,-0.0945522,-0.139885,-0.186756,-0.233863,-0.280303,-0.32581
-0.017894,-0.0519615,-0.0927426,-0.137142,-0.183067,-0.229252,-0.274815,-0.319489
-0.0173775,-0.0503881,-0.0898289,-0.132772,-0.17722,-0.22196,-0.266132,-0.309476
-0.0167059,-0.0483432,-0.0860784,-0.127193,-0.169796,-0.212724,-0.255146,-0.296803
-0.015911,-0.0459242,-0.0816925,-0.120746,-0.161289,-0.202198,-0.242661,-0.282418
-0.0150187,-0.0432178,-0.0768351,-0.113671,-0.152012,-0.190765,-0.229125,-0.266831
-0.0140335,-0.0402731,-0.0716131,-0.106106,-0.142114,-0.178569,-0.214678,-0.250172
-0.0129489,-0.0370923,-0.0660459,-0.0980838,-0.131632,-0.16565,-0.199357,-0.232483
