Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.063603,-0.186698,-0.332474,-0.489069,-0.650343,-0.812419,-0.972754,-1.130590
-0.063601,-0.186692,-0.332459,-0.489045,-0.650308,-0.812373,-0.972697,-1.130520
-0.063601,-0.186689,-0.332452,-0.489033,-0.650293,-0.812354,-0.972674,-1.130500
-0.063607,-0.186703,-0.332474,-0.489063,-0.650330,-0.812397,-0.972723,-1.130550
-0.063623,-0.186748,-0.332551,-0.489170,-0.650465,-0.812558,-0.972908,-1.130760
-0.063645,-0.186814,-0.332668,-0.489341,-0.650690,-0.812835,-0.973235,-1.131130
-0.063664,-0.186876,-0.332786,-0.489521,-0.650933,-0.813144,-0.973608,-1.131570
-0.063675,-0.186917,-0.332868,-0.489649,-0.651110,-0.813372,-0.973888,-1.131900
-0.063681,-0.186940,-0.332912,-0.489712,-0.651194,-0.813476,-0.974012,-1.132040
-0.063691,-0.186964,-0.332946,-0.489753,-0.651236,-0.813516,-0.974050,-1.132080
-0.063705,-0.187001,-0.333002,-0.489822,-0.651313,-0.813598,-0.974134,-1.132160
-0.063719,-0.187041,-0.333071,-0.489920,-0.651439,-0.813751,-0.974312,-1.132370
-0.063723,-0.187058,-0.333110,-0.489986,-0.651537,-0.813882,-0.974478,-1.132570
-0.063719,-0.187053,-0.333107,-0.489988,-0.651548,-0.813906,-0.974515,-1.132620
-0.063715,-0.187039,-0.333079,-0.489945,-0.651487,-0.813827,-0.974418,-1.132500
-0.063702,-0.187001,-0.333010,-0.489841,-0.651347,-0.813648,-0.974203,-1.132250
-0.063684,-0.186943,-0.332903,-0.489683,-0.651137,-0.813389,-0.973896,-1.131900
-0.063670,-0.186894,-0.332808,-0.489537,-0.650939,-0.813138,-0.973593,-1.131550
-0.063667,-0.186875,-0.332764,-0.489465,-0.650836,-0.813002,-0.973423,-1.131340
-0.063676,-0.186897,-0.332798,-0.489509,-0.650889,-0.813063,-0.973489,-1.131410
-0.063684,-0.186927,-0.332860,-0.489609,-0.651032,-0.813248,-0.973717,-1.131680
-0.063660,-0.186877,-0.332800,-0.489554,-0.650993,-0.813235,-0.973734,-1.131730
-0.063614,-0.186751,-0.332590,-0.489264,-0.650633,-0.812813,-0.973256,-1.131200
-0.063580,-0.186636,-0.332365,-0.488913,-0.650145,-0.812185,-0.972490,-1.130300
-0.063558,-0.186551,-0.332190,-0.488630,-0.649740,-0.811649,-0.971820,-1.129500
-0.063545,-0.186500,-0.332087,-0.488472,-0.649524,-0.811375,-0.971486,-1.129100
-0.063563,-0.186545,-0.332159,-0.488573,-0.649655,-0.811534,-0.971672,-1.129320
-0.063630,-0.186735,-0.332491,-0.489050,-0.650273,-0.812286,-0.972554,-1.130320
-0.063728,-0.187032,-0.333029,-0.489841,-0.651318,-0.813580,-0.974088,-1.132090
-0.063820,-0.187337,-0.333606,-0.490714,-0.652497,-0.815066,-0.975876,-1.134170
-0.063899,-0.187605,-0.334116,-0.491484,-0.653535,-0.816378,-0.977459,-1.136020
-0.063969,-0.187832,-0.334533,-0.492091,-0.654331,-0.817358,-0.978620,-1.137360
-0.064019,-0.187990,-0.334814,-0.492488,-0.654835,-0.817963,-0.979320,-1.138150
-0.064030,-0.188032,-0.334888,-0.492589,-0.654960,-0.818111,-0.979490,-1.138340
-0.063985,-0.187909,-0.334676,-0.492285,-0.654569,-0.817639,-0.978943,-1.137720
-0.063881,-0.187602,-0.334132,-0.491499,-0.653549,-0.816393,-0.977482,-1.136060
-0.063726,-0.187130,-0.333277,-0.490248,-0.651904,-0.814364,-0.975082,-1.133290
-0.063518,-0.186492,-0.332123,-0.488559,-0.649682,-0.811619,-0.971829,-1.129550
-0.063263,-0.185713,-0.330720,-0.486510,-0.646989,-0.808297,-0.967896,-1.125020
-0.063006,-0.184921,-0.329281,-0.484391,-0.644187,-0.804820,-0.963760,-1.120250
-0.062773,-0.184206,-0.327987,-0.482487,-0.641663,-0.801680,-0.960014,-1.115910
-0.062570,-0.183595,-0.326902,-0.480916,-0.639609,-0.799149,-0.957015,-1.112450
-0.062412,-0.183130,-0.326096,-0.479773,-0.638138,-0.797360,-0.954918,-1.110050
-0.062311,-0.182843,-0.325620,-0.479119,-0.637316,-0.796376,-0.953775,-1.108750
-0.062259,-0.182711,-0.325431,-0.478895,-0.637068,-0.796109,-0.953491,-1.108450
-0.062230,-0.182662,-0.325405,-0.478922,-0.637163,-0.796281,-0.953743,-1.108780
-0.062208,-0.182636,-0.325419,-0.479006,-0.637331,-0.796543,-0.954099,-1.109230
-0.062177,-0.182576,-0.325363,-0.478972,-0.637330,-0.796577,-0.954172,-1.109340
-0.062136,-0.182472,-0.325202,-0.478760,-0.637066,-0.796265,-0.953814,-1.108940
-0.062106,-0.182378,-0.325032,-0.478501,-0.636711,-0.795808,-0.953255,-1.108280
-0.062097,-0.182343,-0.324954,-0.478367,-0.636508,-0.795529,-0.952896,-1.107840
-0.062109,-0.182374,-0.325006,-0.478436,-0.636591,-0.795621,-0.952995,-1.107940
-0.062138,-0.182466,-0.325181,-0.478705,-0.636957,-0.796086,-0.953556,-1.108600
-0.062199,-0.182651,-0.325520,-0.479207,-0.637625,-0.796918,-0.954549,-1.109750
-0.062318,-0.182994,-0.326120,-0.480066,-0.638736,-0.798270,-0.956132,-1.111550
-0.062498,-0.183516,-0.327032,-0.481371,-0.640422,-0.800321,-0.958532,-1.114290
-0.062739,-0.184222,-0.328272,-0.483156,-0.642744,-0.803163,-0.961876,-1.118120
-0.063041,-0.185120,-0.329858,-0.485444,-0.645726,-0.806823,-0.966190,-1.123070
-0.063404,-0.186206,-0.331783,-0.488225,-0.649351,-0.811270,-0.971434,-1.129090
-0.063819,-0.187463,-0.334021,-0.491458,-0.653568,-0.816445,-0.977540,-1.136100
-0.064233,-0.188753,-0.336349,-0.494854,-0.658029,-0.821954,-0.984071,-1.143630
-0.064562,-0.189818,-0.338315,-0.497771,-0.661916,-0.826813,-0.989888,-1.150380
-0.064759,-0.190471,-0.339534,-0.499594,-0.664368,-0.829906,-0.993624,-1.154750
-0.064781,-0.190566,-0.339715,-0.499863,-0.664732,-0.830377,-0.994210,-1.155460
-0.064571,-0.189947,-0.338590,-0.498194,-0.662518,-0.827631,-0.990953,-1.151710
-0.064095,-0.188516,-0.336001,-0.494386,-0.657495,-0.821423,-0.983601,-1.143250
-0.063428,-0.186453,-0.332228,-0.488817,-0.650128,-0.812295,-0.972766,-1.130760
-0.062717,-0.184184,-0.328010,-0.482520,-0.641716,-0.801780,-0.960186,-1.116170
-0.062006,-0.181940,-0.323863,-0.476335,-0.633447,-0.791418,-0.947754,-1.101700
-0.061299,-0.179773,-0.319945,-0.470581,-0.625839,-0.781964,-0.936473,-1.088610
-0.060639,-0.177787,-0.316419,-0.465472,-0.619152,-0.773716,-0.926681,-1.077290
-0.060063,-0.176081,-0.313433,-0.461186,-0.613575,-0.766860,-0.918560,-1.067910
-0.059589,-0.174697,-0.311050,-0.457806,-0.609210,-0.761521,-0.912258,-1.060660
-0.059215,-0.173637,-0.309278,-0.455346,-0.606083,-0.757742,-0.907836,-1.055600
-0.058942,-0.172894,-0.308092,-0.453765,-0.604135,-0.755446,-0.905202,-1.052630
-0.058745,-0.172399,-0.307372,-0.452884,-0.603129,-0.754336,-0.903997,-1.051330
-0.058645,-0.172180,-0.307123,-0.452663,-0.602963,-0.754237,-0.903971,-1.051380
-0.058726,-0.172446,-0.307665,-0.453503,-0.604090,-0.755634,-0.905623,-1.053280
-0.059012,-0.173297,-0.309207,-0.455759,-0.607026,-0.759210,-0.909801,-1.058030
-0.059493,-0.174731,-0.311793,-0.459551,-0.612009,-0.765345,-0.917041,-1.066340
-0.060182,-0.176792,-0.315509,-0.464999,-0.619180,-0.774197,-0.927521,-1.078390
-0.061084,-0.179511,-0.320397,-0.472140,-0.628556,-0.785757,-0.941199,-1.094130
-0.062186,-0.182872,-0.326429,-0.480918,-0.640063,-0.799936,-0.957981,-1.113450
-0.063419,-0.186698,-0.333342,-0.491013,-0.653334,-0.816335,-0.977445,-1.135920
-0.064733,-0.190746,-0.340652,-0.501738,-0.667514,-0.833959,-0.998475,-1.160320
-0.066139,-0.194902,-0.348006,-0.512475,-0.681713,-0.851648,-1.019650,-1.184960
-0.067566,-0.199015,-0.355157,-0.522827,-0.695342,-0.868589,-1.039910,-1.208540
-0.068912,-0.202864,-0.361809,-0.532416,-0.707920,-0.884177,-1.058510,-1.230120
-0.070157,-0.206391,-0.367826,-0.540984,-0.719053,-0.897867,-1.074740,-1.248870
-0.071265,-0.209515,-0.373099,-0.548391,-0.728556,-0.909429,-1.088330,-1.264470
