Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-0.00578659,-0.0160824,-0.0291322,-0.0445868,-0.0613463,-0.0786024,-0.0957164,-0.112479
-0.00626669,-0.0176399,-0.032264,-0.0495711,-0.068282,-0.087494,-0.10651,-0.125105
-0.0069761,-0.0199368,-0.0366984,-0.0563933,-0.077567,-0.0992346,-0.120649,-0.141562
-0.00784151,-0.0226791,-0.0418219,-0.0640746,-0.087841,-0.112072,-0.135987,-0.159327
-0.00873943,-0.025512,-0.0470226,-0.0717505,-0.098004,-0.124691,-0.151008,-0.176695
-0.00957573,-0.0281565,-0.0518425,-0.0788113,-0.107307,-0.136212,-0.164708,-0.192535
-0.0102978,-0.0304491,-0.0560041,-0.0848769,-0.115271,-0.146054,-0.176403,-0.206057
-0.0108875,-0.0323115,-0.0593559,-0.0897261,-0.121605,-0.153856,-0.185656,-0.216748
-0.0113485,-0.0337231,-0.0618427,-0.0932743,-0.126193,-0.159468,-0.192277,-0.224369
-0.0116859,-0.0346958,-0.0634828,-0.0955481,-0.129071,-0.162929,-0.196311,-0.228971
-0.0118931,-0.0352377,-0.0643152,-0.096622,-0.130354,-0.164402,-0.197966,-0.230806
-0.0119558,-0.0353434,-0.0643725,-0.0965759,-0.130176,-0.164081,-0.197499,-0.230199
-0.0118642,-0.0350134,-0.0636932,-0.0955,-0.128689,-0.162184,-0.195203,-0.227519
-0.0116515,-0.0343375,-0.0624295,-0.0936122,-0.126176,-0.159062,-0.191495,-0.223248
-0.0113783,-0.033475,-0.0608381,-0.0912578,-0.12306,-0.155201,-0.186914,-0.217973
-0.0110837,-0.0325431,-0.0591257,-0.0887335,-0.119725,-0.151069,-0.182008,-0.212317
-0.0107926,-0.0316329,-0.0574659,-0.0862957,-0.116509,-0.147091,-0.177288,-0.206876
-0.0105363,-0.0308408,-0.0560335,-0.0841992,-0.113748,-0.143673,-0.173231,-0.202196
-0.0103401,-0.0302373,-0.0549518,-0.0826279,-0.111688,-0.141132,-0.170217,-0.198721
-0.0102169,-0.0298624,-0.0542934,-0.0816895,-0.110476,-0.139651,-0.168474,-0.19672
-0.0101591,-0.0296991,-0.0540343,-0.0813552,-0.110079,-0.139198,-0.167967,-0.196158
-0.0101403,-0.0296706,-0.0540367,-0.0814229,-0.110231,-0.139446,-0.168311,-0.196595
-0.0101601,-0.0297531,-0.054227,-0.0817493,-0.110708,-0.14008,-0.169102,-0.197539
-0.0102321,-0.0299736,-0.0546329,-0.0823501,-0.111502,-0.14106,-0.170263,-0.198873
-0.0103379,-0.0302936,-0.055208,-0.083186,-0.112593,-0.142395,-0.171829,-0.200663
-0.010459,-0.0306641,-0.0558773,-0.0841665,-0.113885,-0.143993,-0.173724,-0.202844
-0.0106,-0.0310903,-0.0566405,-0.085278,-0.115345,-0.145794,-0.175858,-0.2053
-0.0107615,-0.0315738,-0.0574977,-0.0865157,-0.116958,-0.147772,-0.178186,-0.207969
-0.0109221,-0.0320596,-0.0583626,-0.087768,-0.118593,-0.149781,-0.180558,-0.210691
-0.0110498,-0.0324569,-0.0590797,-0.0888172,-0.119978,-0.151497,-0.182599,-0.213048
-0.0111356,-0.0327237,-0.0595573,-0.0895109,-0.120889,-0.152627,-0.183945,-0.214605
-0.0111826,-0.0328607,-0.0597861,-0.0898226,-0.121278,-0.153089,-0.184478,-0.215209
-0.0111866,-0.0328604,-0.0597612,-0.0897584,-0.121166,-0.152925,-0.184261,-0.214942
-0.0111393,-0.0327084,-0.0594718,-0.0893191,-0.120573,-0.152181,-0.183371,-0.213911
-0.0110369,-0.0323991,-0.0589136,-0.0885027,-0.119501,-0.150862,-0.181815,-0.212128
-0.0108869,-0.0319495,-0.0581092,-0.0873324,-0.11797,-0.14898,-0.179596,-0.209585
-0.0107036,-0.031397,-0.0571196,-0.0858895,-0.116075,-0.146644,-0.176833,-0.20641
-0.010492,-0.030763,-0.0559899,-0.0842478,-0.113923,-0.143992,-0.173698,-0.202806
-0.0102664,-0.0300868,-0.0547864,-0.0825016,-0.111638,-0.141181,-0.170377,-0.198991
-0.010066,-0.0294747,-0.0536848,-0.0808896,-0.109513,-0.138551,-0.167255,-0.19539
-0.00990868,-0.0289928,-0.0528186,-0.0796222,-0.107839,-0.136472,-0.164777,-0.192522
-0.00979525,-0.0286527,-0.0522225,-0.0787695,-0.106733,-0.135118,-0.163178,-0.190684
