Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.019493,-0.056386,-0.100120,-0.147549,-0.196575,-0.245941,-0.294757,-0.342714
-0.019492,-0.056380,-0.100108,-0.147529,-0.196546,-0.245903,-0.294710,-0.342658
-0.019491,-0.056377,-0.100102,-0.147520,-0.196534,-0.245888,-0.294693,-0.342638
-0.019496,-0.056390,-0.100121,-0.147546,-0.196567,-0.245926,-0.294736,-0.342687
-0.019510,-0.056428,-0.100186,-0.147637,-0.196682,-0.246063,-0.294893,-0.342863
-0.019529,-0.056485,-0.100287,-0.147783,-0.196872,-0.246298,-0.295170,-0.343180
-0.019546,-0.056539,-0.100389,-0.147937,-0.197080,-0.246559,-0.295485,-0.343548
-0.019557,-0.056577,-0.100462,-0.148048,-0.197233,-0.246755,-0.295724,-0.343830
-0.019565,-0.056600,-0.100502,-0.148106,-0.197308,-0.246848,-0.295834,-0.343956
-0.019574,-0.056622,-0.100534,-0.148144,-0.197349,-0.246888,-0.295873,-0.343994
-0.019586,-0.056654,-0.100583,-0.148206,-0.197418,-0.246963,-0.295951,-0.344075
-0.019599,-0.056689,-0.100643,-0.148291,-0.197528,-0.247097,-0.296107,-0.344252
-0.019603,-0.056707,-0.100679,-0.148350,-0.197614,-0.247212,-0.296252,-0.344426
-0.019602,-0.056705,-0.100680,-0.148357,-0.197628,-0.247236,-0.296287,-0.344473
-0.019599,-0.056695,-0.100659,-0.148323,-0.197580,-0.247172,-0.296209,-0.344381
-0.019588,-0.056663,-0.100601,-0.148236,-0.197463,-0.247025,-0.296032,-0.344174
-0.019572,-0.056614,-0.100511,-0.148103,-0.197288,-0.246809,-0.295776,-0.343880
-0.019559,-0.056571,-0.100429,-0.147979,-0.197121,-0.246599,-0.295523,-0.343585
-0.019555,-0.056551,-0.100390,-0.147917,-0.197033,-0.246482,-0.295379,-0.343413
-0.019561,-0.056568,-0.100415,-0.147950,-0.197073,-0.246529,-0.295429,-0.343468
-0.019568,-0.056592,-0.100465,-0.148031,-0.197188,-0.246679,-0.295614,-0.343686
-0.019548,-0.056551,-0.100415,-0.147984,-0.197153,-0.246663,-0.295621,-0.343716
-0.019510,-0.056446,-0.100239,-0.147740,-0.196848,-0.246305,-0.295215,-0.343266
-0.019480,-0.056346,-0.100046,-0.147441,-0.196436,-0.245775,-0.294570,-0.342508
-0.019458,-0.056268,-0.099891,-0.147195,-0.196089,-0.245321,-0.294005,-0.341834
-0.019444,-0.056218,-0.099796,-0.147053,-0.195898,-0.245080,-0.293715,-0.341496
-0.019458,-0.056251,-0.099849,-0.147128,-0.195995,-0.245199,-0.293855,-0.341655
-0.019512,-0.056408,-0.100123,-0.147519,-0.196501,-0.245813,-0.294572,-0.342471
-0.019595,-0.056658,-0.100573,-0.148178,-0.197367,-0.246883,-0.295838,-0.343926
-0.019678,-0.056921,-0.101061,-0.148910,-0.198351,-0.248119,-0.297322,-0.345651
-0.019753,-0.057158,-0.101496,-0.149557,-0.199218,-0.249208,-0.298631,-0.347176
-0.019820,-0.057358,-0.101849,-0.150064,-0.199875,-0.250012,-0.299577,-0.348262
-0.019866,-0.057493,-0.102078,-0.150381,-0.200274,-0.250486,-0.300124,-0.348878
-0.019877,-0.057523,-0.102125,-0.150442,-0.200346,-0.250569,-0.300217,-0.348982
-0.019837,-0.057411,-0.101928,-0.150160,-0.199984,-0.250133,-0.299711,-0.348409
-0.019744,-0.057141,-0.101455,-0.149480,-0.199102,-0.249059,-0.298454,-0.346977
-0.019605,-0.056730,-0.100724,-0.148419,-0.197714,-0.247353,-0.296442,-0.344669
-0.019422,-0.056182,-0.099750,-0.147006,-0.195865,-0.245077,-0.293752,-0.341577
-0.019202,-0.055520,-0.098572,-0.145299,-0.193633,-0.242333,-0.290512,-0.337855
-0.018981,-0.054845,-0.097362,-0.143533,-0.191310,-0.239459,-0.287102,-0.333923
-0.018775,-0.054228,-0.096268,-0.141944,-0.189220,-0.236870,-0.284021,-0.330364
-0.018595,-0.053699,-0.095352,-0.140640,-0.187531,-0.234803,-0.281584,-0.327564
-0.018456,-0.053303,-0.094685,-0.139709,-0.186346,-0.233375,-0.279920,-0.325669
-0.018372,-0.053072,-0.094311,-0.139205,-0.185722,-0.232634,-0.279068,-0.324707
-0.018333,-0.052983,-0.094194,-0.139076,-0.185588,-0.232501,-0.278936,-0.324576
-0.018319,-0.052974,-0.094223,-0.139161,-0.185743,-0.232732,-0.279244,-0.324959
-0.018314,-0.052990,-0.094287,-0.139292,-0.185951,-0.233025,-0.279623,-0.325422
-0.018300,-0.052973,-0.094287,-0.139315,-0.186004,-0.233112,-0.279746,-0.325581
-0.018275,-0.052910,-0.094186,-0.139174,-0.185825,-0.232895,-0.279493,-0.325293
-0.018254,-0.052844,-0.094062,-0.138981,-0.185553,-0.232542,-0.279058,-0.324779
-0.018248,-0.052818,-0.094003,-0.138878,-0.185397,-0.232325,-0.278778,-0.324437
-0.018259,-0.052845,-0.094048,-0.138939,-0.185471,-0.232409,-0.278869,-0.324533
-0.018284,-0.052924,-0.094196,-0.139163,-0.185775,-0.232793,-0.279332,-0.325072
-0.018339,-0.053085,-0.094482,-0.139581,-0.186325,-0.233474,-0.280141,-0.326006
-0.018442,-0.053378,-0.094986,-0.140295,-0.187242,-0.234584,-0.281436,-0.327478
-0.018596,-0.053822,-0.095752,-0.141381,-0.188638,-0.236276,-0.283409,-0.329724
-0.018801,-0.054420,-0.096795,-0.142873,-0.190570,-0.238634,-0.286177,-0.332888
-0.019059,-0.055181,-0.098130,-0.144791,-0.193063,-0.241685,-0.289767,-0.337001
-0.019372,-0.056103,-0.099752,-0.147127,-0.196101,-0.245407,-0.294151,-0.342026
-0.019741,-0.057180,-0.101640,-0.149843,-0.199635,-0.249736,-0.299251,-0.347874
-0.020124,-0.058298,-0.103600,-0.152675,-0.203336,-0.254291,-0.304634,-0.354061
-0.020432,-0.059213,-0.105217,-0.155038,-0.206461,-0.258176,-0.309266,-0.359421
-0.020599,-0.059720,-0.106124,-0.156374,-0.208246,-0.260421,-0.311972,-0.362581
-0.020588,-0.059702,-0.106085,-0.156310,-0.208165,-0.260334,-0.311891,-0.362512
-0.020369,-0.059062,-0.104929,-0.154600,-0.205898,-0.257525,-0.308561,-0.358684
-0.019920,-0.057740,-0.102570,-0.151150,-0.201358,-0.251921,-0.301933,-0.351069
-0.019309,-0.055898,-0.099262,-0.146310,-0.194988,-0.244055,-0.292619,-0.340356
-0.018663,-0.053901,-0.095632,-0.140958,-0.187892,-0.235229,-0.282097,-0.328180
-0.018026,-0.051955,-0.092127,-0.135810,-0.181068,-0.226725,-0.271933,-0.316386
-0.017411,-0.050131,-0.088911,-0.131157,-0.174973,-0.219199,-0.262995,-0.306058
-0.016876,-0.048561,-0.086177,-0.127242,-0.169887,-0.212959,-0.255621,-0.297563
-0.016458,-0.047341,-0.084072,-0.124246,-0.166005,-0.208201,-0.249994,-0.291075
-0.016158,-0.046483,-0.082621,-0.122210,-0.163392,-0.205017,-0.246244,-0.286764
-0.015969,-0.045968,-0.081796,-0.121105,-0.162024,-0.203397,-0.244378,-0.284653
-0.015883,-0.045771,-0.081550,-0.120856,-0.161798,-0.203206,-0.244227,-0.284542
-0.015876,-0.045818,-0.081747,-0.121259,-0.162433,-0.204084,-0.245347,-0.285896
-0.015954,-0.046098,-0.082327,-0.122182,-0.163711,-0.205717,-0.247327,-0.288211
