Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.027676,-0.080192,-0.141263,-0.206468,-0.273445,-0.340831,-0.407645,-0.473517
-0.027676,-0.080188,-0.141254,-0.206452,-0.273422,-0.340800,-0.407606,-0.473470
-0.027676,-0.080186,-0.141250,-0.206445,-0.273411,-0.340787,-0.407590,-0.473452
-0.027681,-0.080199,-0.141269,-0.206470,-0.273442,-0.340823,-0.407631,-0.473497
-0.027695,-0.080237,-0.141333,-0.206560,-0.273555,-0.340956,-0.407784,-0.473669
-0.027713,-0.080293,-0.141432,-0.206704,-0.273744,-0.341188,-0.408058,-0.473983
-0.027730,-0.080346,-0.141533,-0.206855,-0.273949,-0.341448,-0.408371,-0.474348
-0.027740,-0.080383,-0.141603,-0.206964,-0.274099,-0.341640,-0.408606,-0.474626
-0.027747,-0.080404,-0.141642,-0.207019,-0.274170,-0.341728,-0.408710,-0.474746
-0.027756,-0.080425,-0.141672,-0.207055,-0.274207,-0.341764,-0.408744,-0.474777
-0.027769,-0.080458,-0.141721,-0.207116,-0.274276,-0.341838,-0.408821,-0.474857
-0.027781,-0.080494,-0.141783,-0.207204,-0.274390,-0.341976,-0.408982,-0.475041
-0.027786,-0.080512,-0.141821,-0.207267,-0.274481,-0.342098,-0.409135,-0.475224
-0.027785,-0.080511,-0.141824,-0.207277,-0.274500,-0.342129,-0.409179,-0.475281
-0.027782,-0.080502,-0.141806,-0.207246,-0.274456,-0.342070,-0.409107,-0.475196
-0.027772,-0.080472,-0.141749,-0.207161,-0.274342,-0.341926,-0.408932,-0.474991
-0.027756,-0.080422,-0.141659,-0.207028,-0.274166,-0.341709,-0.408675,-0.474696
-0.027743,-0.080379,-0.141576,-0.206903,-0.273997,-0.341496,-0.408419,-0.474398
-0.027739,-0.080360,-0.141537,-0.206840,-0.273908,-0.341378,-0.408272,-0.474223
-0.027746,-0.080377,-0.141563,-0.206875,-0.273950,-0.341426,-0.408324,-0.474279
-0.027752,-0.080401,-0.141614,-0.206957,-0.274067,-0.341579,-0.408513,-0.474501
-0.027732,-0.080359,-0.141561,-0.206906,-0.274028,-0.341560,-0.408517,-0.474529
-0.027692,-0.080249,-0.141377,-0.206652,-0.273710,-0.341186,-0.408093,-0.474058
-0.027661,-0.080145,-0.141176,-0.206340,-0.273279,-0.340632,-0.407418,-0.473265
-0.027639,-0.080063,-0.141013,-0.206081,-0.272914,-0.340154,-0.406824,-0.472556
-0.027623,-0.080010,-0.140911,-0.205928,-0.272709,-0.339895,-0.406512,-0.472193
-0.027637,-0.080041,-0.140961,-0.205999,-0.272800,-0.340007,-0.406644,-0.472343
-0.027693,-0.080201,-0.141239,-0.206397,-0.273314,-0.340632,-0.407373,-0.473173
-0.027777,-0.080457,-0.141701,-0.207073,-0.274204,-0.341731,-0.408674,-0.474668
-0.027861,-0.080727,-0.142204,-0.207828,-0.275219,-0.343008,-0.410208,-0.476453
-0.027937,-0.080972,-0.142656,-0.208502,-0.276124,-0.344145,-0.411576,-0.478047
