Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.050951,-0.148284,-0.261702,-0.382538,-0.506377,-0.630874,-0.754472,-0.876497
-0.050655,-0.147380,-0.260214,-0.380462,-0.503647,-0.627422,-0.750261,-0.871508
-0.050553,-0.147172,-0.260166,-0.380825,-0.504667,-0.629064,-0.752334,-0.873925
-0.050630,-0.147628,-0.261524,-0.383542,-0.509109,-0.635334,-0.760342,-0.883587
-0.051008,-0.149005,-0.264579,-0.388776,-0.516849,-0.645680,-0.773234,-0.898919
-0.051670,-0.151244,-0.269148,-0.396142,-0.527238,-0.659138,-0.789683,-0.918251
-0.052555,-0.154134,-0.274763,-0.404808,-0.539048,-0.674082,-0.807697,-0.939257
-0.053512,-0.157214,-0.280617,-0.413670,-0.550940,-0.688960,-0.825492,-0.959902
-0.054420,-0.160146,-0.286119,-0.421906,-0.561931,-0.702686,-0.841912,-0.978975
-0.055249,-0.162824,-0.291058,-0.429189,-0.571573,-0.714679,-0.856236,-0.995605
-0.055977,-0.165161,-0.295315,-0.435385,-0.579692,-0.724697,-0.868132,-1.009360
-0.056579,-0.167076,-0.298761,-0.440353,-0.586154,-0.732627,-0.877507,-1.020170
-0.057041,-0.168517,-0.301314,-0.443994,-0.590856,-0.738372,-0.884282,-1.027970
-0.057359,-0.169475,-0.302957,-0.446284,-0.593765,-0.741884,-0.888388,-1.032660
-0.057539,-0.169968,-0.303726,-0.447270,-0.594936,-0.743222,-0.889885,-1.034320
-0.057574,-0.170002,-0.303656,-0.447028,-0.594489,-0.742555,-0.888996,-1.033210
-0.057460,-0.169590,-0.302807,-0.445681,-0.592623,-0.740169,-0.886104,-1.029830
-0.057229,-0.168837,-0.301371,-0.443509,-0.589709,-0.736530,-0.881766,-1.024820
-0.056943,-0.167911,-0.299633,-0.440908,-0.586244,-0.732216,-0.876630,-1.018890
-0.056650,-0.166953,-0.297836,-0.438230,-0.582680,-0.727781,-0.871345,-1.012780
-0.056370,-0.166039,-0.296130,-0.435702,-0.579332,-0.723630,-0.866412,-1.007080
-0.056101,-0.165180,-0.294551,-0.433391,-0.576303,-0.719901,-0.862003,-1.002010
-0.055848,-0.164384,-0.293112,-0.431306,-0.573591,-0.716583,-0.858097,-0.997528
-0.055639,-0.163731,-0.291935,-0.429598,-0.571359,-0.713839,-0.854854,-0.993798
-0.055501,-0.163298,-0.291155,-0.428464,-0.569868,-0.711990,-0.852651,-0.991248
-0.055437,-0.163101,-0.290816,-0.427989,-0.569260,-0.711248,-0.851776,-0.990238
-0.055453,-0.163156,-0.290944,-0.428216,-0.569594,-0.711691,-0.852324,-0.990887
-0.055562,-0.163490,-0.291575,-0.429177,-0.570891,-0.713319,-0.854273,-0.993146
-0.055747,-0.164061,-0.292637,-0.430768,-0.573016,-0.715968,-0.857428,-0.996790
-0.055966,-0.164753,-0.293926,-0.432700,-0.575601,-0.719200,-0.861290,-1.001260
-0.056183,-0.165453,-0.295230,-0.434644,-0.578199,-0.722449,-0.865179,-1.005780
-0.056383,-0.166095,-0.296408,-0.436379,-0.580490,-0.725291,-0.868561,-1.009690
-0.056551,-0.166625,-0.297367,-0.437766,-0.582296,-0.727504,-0.871169,-1.012680
-0.056666,-0.166988,-0.298013,-0.438688,-0.583483,-0.728947,-0.872860,-1.014610
-0.056707,-0.167126,-0.298255,-0.439024,-0.583910,-0.729462,-0.873462,-1.015300
-0.056665,-0.167005,-0.298029,-0.438681,-0.583449,-0.728888,-0.872783,-1.014520
-0.056543,-0.166628,-0.297334,-0.437647,-0.582077,-0.727186,-0.870764,-1.012200
-0.056348,-0.166020,-0.296216,-0.435992,-0.579884,-0.724468,-0.867537,-1.008480
-0.056093,-0.165221,-0.294748,-0.433827,-0.577024,-0.720927,-0.863335,-1.003640
-0.055809,-0.164325,-0.293100,-0.431391,-0.573798,-0.716925,-0.858579,-0.998148
-0.055531,-0.163453,-0.291499,-0.429020,-0.570648,-0.713002,-0.853901,-0.992735
-0.055281,-0.162681,-0.290099,-0.426961,-0.567924,-0.709621,-0.849874,-0.988076
-0.055075,-0.162057,-0.288989,-0.425355,-0.565827,-0.707040,-0.846821,-0.984562
-0.054929,-0.161627,-0.288244,-0.424300,-0.564470,-0.705392,-0.844888,-0.982350
-0.054848,-0.161398,-0.287873,-0.423803,-0.563859,-0.704673,-0.844066,-0.981424
-0.054814,-0.161324,-0.287791,-0.423742,-0.563836,-0.704695,-0.844133,-0.981536
-0.054807,-0.161335,-0.287869,-0.423920,-0.564131,-0.705115,-0.844680,-0.982205
-0.054806,-0.161366,-0.287976,-0.424130,-0.564457,-0.705563,-0.845250,-0.982895
