Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-4.25434e-06,-1.71092e-05,-3.79951e-05,-6.60341e-05,-0.000100275,-0.000139673,-0.00018307,-0.000229309
-4.66693e-06,-1.82727e-05,-4.00392e-05,-6.89834e-05,-0.000104088,-0.000144278,-0.000188394,-0.000235293
-5.12576e-06,-1.96509e-05,-4.2609e-05,-7.28996e-05,-0.000109404,-0.000150972,-0.000196397,-0.000244522
-5.975e-06,-2.20065e-05,-4.67398e-05,-7.89133e-05,-0.0001173,-0.000160688,-0.000207836,-0.000257587
-7.30952e-06,-2.57498e-05,-5.33221e-05,-8.84583e-05,-0.000129732,-0.000175832,-0.000225496,-0.000277594
-8.56972e-06,-2.95443e-05,-6.03832e-05,-9.91749e-05,-0.000144214,-0.000193995,-0.000247145,-0.000302511
-9.06016e-06,-3.13664e-05,-6.42772e-05,-0.000105702,-0.000153725,-0.000206628,-0.00026286,-0.000321165
-8.52168e-06,-3.01345e-05,-6.25564e-05,-0.000103796,-0.000151944,-0.000205218,-0.000261963,-0.000320827
-7.39845e-06,-2.67892e-05,-5.63899e-05,-9.4518e-05,-0.00013951,-0.00018975,-0.000243676,-0.000299948
-6.51168e-06,-2.37315e-05,-5.01313e-05,-8.4321e-05,-0.000124954,-0.000170712,-0.000220274,-0.000272431
-6.37557e-06,-2.28639e-05,-4.7833e-05,-7.99746e-05,-0.000118102,-0.000161102,-0.000207856,-0.000257295
-6.71827e-06,-2.38528e-05,-4.9584e-05,-8.24873e-05,-0.000121295,-0.000164855,-0.000212044,-0.000261819
-6.78733e-06,-2.4533e-05,-5.1522e-05,-8.6227e-05,-0.000127207,-0.000173105,-0.000222612,-0.000274561
-6.72009e-06,-2.458e-05,-5.20218e-05,-8.75475e-05,-0.00012967,-0.000176928,-0.000227879,-0.000281248
-6.72232e-06,-2.45005e-05,-5.17445e-05,-8.69712e-05,-0.000128732,-0.000175614,-0.000226216,-0.000279287
-6.22967e-06,-2.31089e-05,-4.92454e-05,-8.32307e-05,-0.000123677,-0.000169226,-0.000218529,-0.000270371
-5.53437e-06,-2.10104e-05,-4.53536e-05,-7.73643e-05,-0.000115814,-0.000159443,-0.000206948,-0.000257112
-5.47403e-06,-2.05055e-05,-4.39582e-05,-7.47121e-05,-0.000111661,-0.000153682,-0.000199588,-0.000248229
-6.30319e-06,-2.26153e-05,-4.73216e-05,-7.91277e-05,-0.000116858,-0.000159409,-0.00020567,-0.000254582
-8.04731e-06,-2.75389e-05,-5.6041e-05,-9.18614e-05,-0.000133548,-0.000179839,-0.000229562,-0.000281678
-9.26209e-06,-3.16785e-05,-6.43934e-05,-0.000105273,-0.000152435,-0.000204257,-0.000259304,-0.000316416
-7.50192e-06,-2.79784e-05,-5.97563e-05,-0.000100875,-0.000149314,-0.000203112,-0.000260435,-0.000319812
-3.85007e-06,-1.76406e-05,-4.15612e-05,-7.46366e-05,-0.000115487,-0.000162437,-0.000213667,-0.000267534
-1.28229e-06,-8.80922e-06,-2.35299e-05,-4.53423e-05,-7.3805e-05,-0.000108106,-0.000147096,-0.000189474
-7.9204e-08,-4.2169e-06,-1.34275e-05,-2.79199e-05,-4.77483e-05,-7.27095e-05,-0.000102266,-0.000135549
-5.33103e-07,-5.1176e-06,-1.44547e-05,-2.87034e-05,-4.79318e-05,-7.19995e-05,-0.000100459,-0.000132528
-4.18602e-06,-1.53207e-05,-3.24205e-05,-5.48971e-05,-8.23026e-05,-0.000114185,-0.000149935,-0.000188755
-1.10224e-05,-3.49705e-05,-6.7736e-05,-0.000107101,-0.000151433,-0.000199554,-0.000250518,-0.000303535
-1.83859e-05,-5.71634e-05,-0.000109121,-0.000170089,-0.000236829,-0.000307005,-0.000378962,-0.000451704
-2.28642e-05,-7.19402e-05,-0.000138558,-0.00021721,-0.000303303,-0.000393295,-0.000484598,-0.000575727
-2.36789e-05,-7.54205e-05,-0.00014665,-0.000231627,-0.00032534,-0.000423715,-0.000523625,-0.000623198
-2.14868e-05,-6.89788e-05,-0.000134874,-0.000214011,-0.000301859,-0.000394685,-0.000489555,-0.00058463
