Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-9.19899e-06,-3.17076e-05,-6.46568e-05,-0.000105899,-0.000153608,-0.000206216,-0.000262329,-0.000320659
-9.0123e-06,-3.12396e-05,-6.42112e-05,-0.000105919,-0.000154506,-0.000208258,-0.00026556,-0.000325121
-9.35626e-06,-3.20436e-05,-6.53498e-05,-0.00010716,-0.000155551,-0.000208787,-0.000265287,-0.000323793
-9.3363e-06,-3.18696e-05,-6.48152e-05,-0.000106023,-0.000153608,-0.000205939,-0.000261575,-0.000319344
-8.85156e-06,-3.05035e-05,-6.2468e-05,-0.000102772,-0.000149632,-0.000201429,-0.000256656,-0.000314052
-8.56548e-06,-2.96212e-05,-6.07835e-05,-0.000100141,-0.000145968,-0.0001967,-0.000250883,-0.000307296
-8.27451e-06,-2.87491e-05,-5.9144e-05,-9.76058e-05,-0.00014247,-0.00019223,-0.000245481,-0.000301021
-7.92758e-06,-2.77729e-05,-5.74255e-05,-9.51176e-05,-0.000139232,-0.000188275,-0.000240832,-0.000295695
-7.76379e-06,-2.72724e-05,-5.64752e-05,-9.36492e-05,-0.000137217,-0.000185718,-0.000237762,-0.000292147
-7.89236e-06,-2.75805e-05,-5.693e-05,-9.41966e-05,-0.000137796,-0.000186273,-0.000238246,-0.00029253
-8.30859e-06,-2.87543e-05,-5.89958e-05,-9.71871e-05,-0.000141675,-0.000190971,-0.000243688,-0.000298659
-8.84593e-06,-3.03706e-05,-6.2005e-05,-0.000101763,-0.000147876,-0.000198766,-0.00025299,-0.000309362
-9.26093e-06,-3.17118e-05,-6.46401e-05,-0.000105938,-0.000153718,-0.000206302,-0.000262174,-0.00032011
-9.47835e-06,-3.24214e-05,-6.60572e-05,-0.000108226,-0.000156985,-0.000210598,-0.000267496,-0.000326422
-9.48434e-06,-3.24399e-05,-6.60974e-05,-0.000108298,-0.0001571,-0.000210773,-0.000267753,-0.000326782
-9.20279e-06,-3.16155e-05,-6.45919e-05,-0.000106038,-0.000154066,-0.000206986,-0.000263259,-0.000321633
-8.74778e-06,-3.02477e-05,-6.20505e-05,-0.000102183,-0.000148857,-0.000200452,-0.000255472,-0.000312679
-8.35713e-06,-2.90134e-05,-5.9665e-05,-9.84498e-05,-0.000143683,-0.000193829,-0.000247453,-0.000303339
-8.17173e-06,-2.83826e-05,-5.83781e-05,-9.63488e-05,-0.000140667,-0.000189856,-0.000242529,-0.000297502
-8.2729e-06,-2.86214e-05,-5.87255e-05,-9.67576e-05,-0.000141086,-0.000190241,-0.000242848,-0.000297736
-8.45448e-06,-2.92372e-05,-5.99599e-05,-9.87265e-05,-0.000143839,-0.000193773,-0.000247114,-0.000302679
-8.29774e-06,-2.90226e-05,-5.99222e-05,-9.90951e-05,-0.000144793,-0.000195413,-0.000249464,-0.000305708
-7.93102e-06,-2.80257e-05,-5.82401e-05,-9.67753e-05,-0.000141937,-0.000192132,-0.000245847,-0.000301807
-7.7778e-06,-2.73862e-05,-5.67952e-05,-9.42803e-05,-0.000138244,-0.00018719,-0.000239689,-0.000294509
-7.81432e-06,-2.73422e-05,-5.64707e-05,-9.34661e-05,-0.000136761,-0.000184922,-0.000236592,-0.000290602
-8.03504e-06,-2.7937e-05,-5.74852e-05,-9.49011e-05,-0.000138588,-0.000187098,-0.000239071,-0.000293347
-8.66993e-06,-2.97238e-05,-6.06534e-05,-9.95489e-05,-0.000144721,-0.000194665,-0.00024799,-0.000303527
-9.72422e-06,-3.27467e-05,-6.6077e-05,-0.000107556,-0.000155315,-0.000207741,-0.000263395,-0.000321111
-1.07897e-05,-3.59587e-05,-7.20674e-05,-0.000116674,-0.000167677,-0.000223296,-0.000281991,-0.000342566
-1.13454e-05,-3.78471e-05,-7.59e-05,-0.000122886,-0.000176521,-0.000234854,-0.000296208,-0.000359316
-1.13149e-05,-3.79215e-05,-7.62971e-05,-0.000123828,-0.000178195,-0.000237388,-0.000299659,-0.000363683
-1.08454e-05,-3.65278e-05,-7.37266e-05,-0.000119952,-0.000172987,-0.000230898,-0.00029198,-0.00035492
-1.00195e-05,-3.40326e-05,-6.9047e-05,-0.000112776,-0.000163181,-0.000218467,-0.000277032,-0.000337608
-8.92029e-06,-3.07892e-05,-6.30782e-05,-0.000103763,-0.000151017,-0.000203194,-0.000258788,-0.00031656
-7.63343e-06,-2.70689e-05,-5.63508e-05,-9.37547e-05,-0.000137675,-0.000186608,-0.00023912,-0.000293982
-6.2981e-06,-2.32037e-05,-4.93595e-05,-8.33576e-05,-0.000123826,-0.000169409,-0.000218746,-0.000270613
-5.11571e-06,-1.97142e-05,-4.29495e-05,-7.37041e-05,-0.000110834,-0.000153139,-0.000199349,-0.000248261
-4.06713e-06,-1.66517e-05,-3.73569e-05,-6.53043e-05,-9.95364e-05,-0.000138983,-0.000182452,-0.000228765
-3.21848e-06,-1.41628e-05,-3.28134e-05,-5.84995e-05,-9.04192e-05,-0.000127603,-0.000168911,-0.000213173
-2.99823e-06,-1.3345e-05,-3.10796e-05,-5.56236e-05,-8.62734e-05,-0.000122147,-0.000162168,-0.0002052
-3.40981e-06,-1.44302e-05,-3.28647e-05,-5.8033e-05,-8.91821e-05,-0.000125427,-0.000165723,-0.00020897
-4.17863e-06,-1.67167e-05,-3.70888e-05,-6.44159e-05,-9.77804e-05,-0.00013618,-0.0001785,-0.000223625
-5.16878e-06,-1.97004e-05,-4.26705e-05,-7.2957e-05,-0.000109435,-0.000150938,-0.000196239,-0.000244172
