Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.006972,-0.020576,-0.037110,-0.055280,-0.074246,-0.093405,-0.112338,-0.130905
-0.006978,-0.020592,-0.037138,-0.055320,-0.074297,-0.093467,-0.112412,-0.130989
-0.006985,-0.020613,-0.037177,-0.055377,-0.074373,-0.093562,-0.112524,-0.131119
-0.006997,-0.020647,-0.037236,-0.055462,-0.074484,-0.093698,-0.112685,-0.131303
-0.007015,-0.020700,-0.037327,-0.055592,-0.074652,-0.093901,-0.112922,-0.131573
-0.007035,-0.020760,-0.037435,-0.055750,-0.074860,-0.094158,-0.113226,-0.131922
-0.007051,-0.020810,-0.037529,-0.055891,-0.075051,-0.094400,-0.113517,-0.132261
-0.007058,-0.020837,-0.037581,-0.055972,-0.075162,-0.094544,-0.113694,-0.132469
-0.007060,-0.020844,-0.037592,-0.055986,-0.075179,-0.094563,-0.113716,-0.132495
-0.007062,-0.020843,-0.037585,-0.055967,-0.075146,-0.094512,-0.113649,-0.132411
-0.007065,-0.020848,-0.037586,-0.055960,-0.075126,-0.094479,-0.113600,-0.132347
-0.007067,-0.020854,-0.037594,-0.055971,-0.075140,-0.094494,-0.113616,-0.132364
-0.007064,-0.020846,-0.037585,-0.055965,-0.075139,-0.094501,-0.113631,-0.132387
-0.007056,-0.020826,-0.037553,-0.055922,-0.075088,-0.094445,-0.113571,-0.132323
-0.007049,-0.020804,-0.037512,-0.055860,-0.075003,-0.094336,-0.113440,-0.132171
-0.007038,-0.020771,-0.037452,-0.055770,-0.074883,-0.094185,-0.113258,-0.131959
-0.007024,-0.020730,-0.037377,-0.055660,-0.074738,-0.094007,-0.113047,-0.131717
-0.007016,-0.020702,-0.037324,-0.055579,-0.074627,-0.093866,-0.112876,-0.131518
-0.007017,-0.020701,-0.037318,-0.055566,-0.074605,-0.093833,-0.112832,-0.131461
-0.007029,-0.020732,-0.037372,-0.055643,-0.074705,-0.093954,-0.112973,-0.131622
-0.007040,-0.020771,-0.037448,-0.055762,-0.074870,-0.094166,-0.113230,-0.131923
-0.007029,-0.020753,-0.037435,-0.055766,-0.074898,-0.094224,-0.113322,-0.132047
-0.007002,-0.020680,-0.037314,-0.055597,-0.074688,-0.093978,-0.113044,-0.131741
-0.006982,-0.020612,-0.037178,-0.055380,-0.074382,-0.093580,-0.112554,-0.131162
-0.006969,-0.020562,-0.037074,-0.055209,-0.074134,-0.093249,-0.112138,-0.130662
-0.006963,-0.020536,-0.037021,-0.055128,-0.074023,-0.093107,-0.111965,-0.130458
-0.006979,-0.020579,-0.037093,-0.055231,-0.074157,-0.093271,-0.112158,-0.130679
-0.007029,-0.020721,-0.037341,-0.055589,-0.074622,-0.093839,-0.112824,-0.131438
-0.007098,-0.020928,-0.037716,-0.056142,-0.075356,-0.094750,-0.113906,-0.132684
-0.007160,-0.021129,-0.038094,-0.056715,-0.076132,-0.095732,-0.115091,-0.134067
-0.007209,-0.021288,-0.038393,-0.057167,-0.076746,-0.096510,-0.116032,-0.135168
-0.007245,-0.021400,-0.038594,-0.057457,-0.077123,-0.096973,-0.116579,-0.135797
-0.007260,-0.021447,-0.038672,-0.057559,-0.077244,-0.097109,-0.116729,-0.135961
-0.007245,-0.021403,-0.038590,-0.057435,-0.077077,-0.096898,-0.116476,-0.135667
-0.007192,-0.021248,-0.038317,-0.057040,-0.076563,-0.096270,-0.115740,-0.134827
-0.007101,-0.020981,-0.037844,-0.056353,-0.075664,-0.095168,-0.114442,-0.133341
-0.006982,-0.020626,-0.037205,-0.055417,-0.074429,-0.093640,-0.112631,-0.131256
-0.006837,-0.020193,-0.036428,-0.054279,-0.072928,-0.091782,-0.110426,-0.128716
