Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
2.28485e-05,6.18259e-05,0.000105346,0.000147629,0.00018482,0.000214879,0.000237326,0.000253133
2.19226e-05,5.9233e-05,0.000100821,0.000141143,0.00017649,0.00020488,0.00022583,0.000240266
2.08553e-05,5.6022e-05,9.48229e-05,0.000131988,0.000164046,0.000189196,0.000207067,0.00021862
1.87673e-05,5.0225e-05,8.46473e-05,0.000117161,0.000144561,0.000165206,0.000178801,0.000186319
1.54128e-05,4.07889e-05,6.80137e-05,9.29903e-05,0.000113027,0.000126739,0.000133895,0.000135394
1.2191e-05,3.10621e-05,4.98709e-05,6.53986e-05,7.56761e-05,7.98268e-05,7.79123e-05,7.08977e-05
1.08447e-05,2.61274e-05,3.93938e-05,4.7897e-05,5.02241e-05,4.60546e-05,3.59198e-05,2.10615e-05
1.20362e-05,2.87399e-05,4.28181e-05,5.13059e-05,5.2801e-05,4.71732e-05,3.52317e-05,1.84719e-05
1.46873e-05,3.66522e-05,5.74286e-05,7.33158e-05,8.23195e-05,8.39043e-05,7.86627e-05,6.80603e-05
1.68039e-05,4.40249e-05,7.26245e-05,9.82008e-05,0.00011798,0.000130681,0.000136288,0.000135931
1.7158e-05,4.62473e-05,7.8498e-05,0.00010931,0.000135504,0.000155278,0.000168097,0.000174723
1.64252e-05,4.41397e-05,7.47871e-05,0.000104029,0.000128867,0.000147583,0.000159638,0.000165731
1.6421e-05,4.29354e-05,7.08425e-05,9.60106e-05,0.000115843,0.000129113,0.000135746,0.000136744
1.67344e-05,4.32492e-05,7.03859e-05,9.3899e-05,0.000111275,0.000121531,0.000124914,0.000122699
1.6811e-05,4.37027e-05,7.15688e-05,9.61073e-05,0.000114688,0.000126192,0.000130746,0.000129562
1.80628e-05,4.72603e-05,7.79929e-05,0.000105767,0.000127792,0.000142798,0.000150773,0.000152829
1.97821e-05,5.24642e-05,8.76679e-05,0.000120379,0.000147408,0.000167233,0.000179727,0.00018601
1.98874e-05,5.35994e-05,9.09343e-05,0.000126691,0.000157378,0.000181139,0.000197558,0.000207581
1.77649e-05,4.8166e-05,8.22171e-05,0.000115174,0.000143736,0.000166008,0.000181385,0.00019059
1.33688e-05,3.57115e-05,6.00908e-05,8.27747e-05,0.000101181,0.000113828,0.000120278,0.000121212
1.02903e-05,2.51966e-05,3.88265e-05,4.85629e-05,5.29192e-05,5.13486e-05,4.40895e-05,3.21351e-05
1.46065e-05,3.41907e-05,4.9923e-05,5.87517e-05,5.9545e-05,5.26267e-05,3.9256e-05,2.12299e-05
2.36025e-05,5.96932e-05,9.48659e-05,0.000123617,0.000143209,0.000153242,0.000154951,0.000150561
2.99915e-05,8.17198e-05,0.000139894,0.000196885,0.000247625,0.000289532,0.000322142,0.000346797
3.32589e-05,9.39094e-05,0.00016631,0.000242084,0.000314946,0.000380781,0.000437576,0.000485566
3.25668e-05,9.289e-05,0.000165852,0.000243124,0.00031835,0.000387236,0.000447539,0.00049928
2.37535e-05,6.83452e-05,0.000122774,0.000180458,0.000236235,0.000286542,0.000329503,0.000365185
6.74929e-06,1.95257e-05,3.5194e-05,5.11727e-05,6.52095e-05,7.55123e-05,8.10045e-05,8.17101e-05
-1.17036e-05,-3.61728e-05,-6.87688e-05,-0.000107181,-0.000149616,-0.00019493,-0.000242419,-0.000291526
-2.32644e-05,-7.43141e-05,-0.00014467,-0.000228632,-0.000320985,-0.000417496,-0.000515052,-0.000611818
-2.61639e-05,-8.5591e-05,-0.000169523,-0.000271503,-0.000385203,-0.000504998,-0.000626377,-0.000746487
-2.17054e-05,-7.24813e-05,-0.000145513,-0.000235527,-0.000337211,-0.000445691,-0.000556879,-0.000668005
-1.03778e-05,-3.82826e-05,-8.15389e-05,-0.000137652,-0.000203693,-0.000276695,-0.000353928,-0.000433234
6.67226e-06,1.20152e-05,1.08872e-05,1.69555e-06,-1.58834e-05,-4.1193e-05,-7.29076e-05,-0.000109304
2.77302e-05,7.32e-05,0.00012196,0.00016747,0.00020567,0.000234775,0.000254807,0.000267267
5.05455e-05,0.000139584,0.000242379,0.000347074,0.00044562,0.000533607,0.00060966,0.00067504
7.1892e-05,0.000202581,0.000357578,0.000519945,0.000677821,0.00082413,0.000955926,0.00107404
9.13895e-05,0.000259557,0.000460845,0.000673893,0.000883712,0.00108107,0.00126176,0.00142628
0.000107349,0.000306259,0.000545259,0.000799214,0.00105058,0.00128848,0.00150785,0.00170909
0.000112777,0.000324701,0.000582007,0.000857769,0.00113284,0.00139493,0.00163795,0.00186181
0.00010733,0.000310601,0.000559169,0.000827475,0.00109703,0.00135552,0.00159637,0.00181889
9.51023e-05,0.000274332,0.000492583,0.000727395,0.000962719,0.001188,0.0013977,0.00159133
7.82737e-05,0.000223858,0.00039907,0.00058546,0.000770189,0.000945218,0.00110673,0.00125495
6.01618e-05,0.0001696,0.000298829,0.000433842,0.000565219,0.000687461,0.000798363,0.000898717
4.70526e-05,0.000129136,0.000222552,0.000316774,0.000405177,0.000484437,0.00055382,0.000614703
4.5136e-05,0.00012047,0.000202491,0.000281523,0.000352061,0.000412055,0.00046194,0.000503845
5.59272e-05,0.000149792,0.000252547,0.000352087,0.000441455,0.000518061,0.000582461,0.000637288
7.83204e-05,0.000214438,0.000368884,0.000524346,0.000670064,0.000800968,0.000916331,0.00101864
0.000106083,0.000297532,0.000522314,0.000756141,0.000982866,0.00119348,0.0013848,0.00155853
0.000128968,0.000368959,0.000658198,0.000966329,0.00127206,0.00156212,0.00183025,0.00207679
