Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.006271,-0.017460,-0.031824,-0.048877,-0.067328,-0.086265,-0.104998,-0.123300
-0.006769,-0.019059,-0.034989,-0.053865,-0.074233,-0.095087,-0.115678,-0.135760
-0.007498,-0.021403,-0.039484,-0.060754,-0.083586,-0.106892,-0.129871,-0.152260
-0.008383,-0.024200,-0.044704,-0.068575,-0.094047,-0.119968,-0.145502,-0.170374
-0.009312,-0.027128,-0.050076,-0.076506,-0.104555,-0.133025,-0.161054,-0.188366
-0.010194,-0.029913,-0.055151,-0.083941,-0.114352,-0.145158,-0.175483,-0.205051
-0.010971,-0.032378,-0.059625,-0.090465,-0.122922,-0.155754,-0.188078,-0.219618
-0.011631,-0.034443,-0.063334,-0.095837,-0.129947,-0.164416,-0.198361,-0.231507
-0.012184,-0.036096,-0.066221,-0.099956,-0.135283,-0.170955,-0.206089,-0.240415
-0.012632,-0.037342,-0.068288,-0.102823,-0.138926,-0.175358,-0.211241,-0.246311
-0.012950,-0.038163,-0.069557,-0.104491,-0.140962,-0.177744,-0.213966,-0.249372
-0.013111,-0.038532,-0.070038,-0.105020,-0.141503,-0.178276,-0.214484,-0.249876
-0.013119,-0.038463,-0.069762,-0.104464,-0.140635,-0.177086,-0.212975,-0.248058
-0.012987,-0.037998,-0.068810,-0.102952,-0.138538,-0.174405,-0.209727,-0.244265
-0.012737,-0.037208,-0.067333,-0.100737,-0.135574,-0.170702,-0.205307,-0.239156
-0.012425,-0.036245,-0.065576,-0.098150,-0.132163,-0.166486,-0.200313,-0.233409
-0.012107,-0.035254,-0.063775,-0.095515,-0.128700,-0.162215,-0.195258,-0.227594
-0.011812,-0.034339,-0.062123,-0.093106,-0.125539,-0.158315,-0.190640,-0.222276
-0.011563,-0.033582,-0.060772,-0.091148,-0.122973,-0.155152,-0.186892,-0.217958
-0.011384,-0.033044,-0.059827,-0.089790,-0.121207,-0.152982,-0.184328,-0.215007
-0.011272,-0.032721,-0.059283,-0.089038,-0.120258,-0.151844,-0.183004,-0.213502
-0.011203,-0.032543,-0.059022,-0.088724,-0.119910,-0.151474,-0.182618,-0.213098
-0.011181,-0.032504,-0.058998,-0.088741,-0.119985,-0.151616,-0.182830,-0.213378
-0.011226,-0.032643,-0.059261,-0.089138,-0.120515,-0.152274,-0.183610,-0.214277
-0.011319,-0.032926,-0.059774,-0.089887,-0.121495,-0.153474,-0.185019,-0.215885
-0.011441,-0.033300,-0.060453,-0.090887,-0.122818,-0.155115,-0.186968,-0.218131
-0.011595,-0.033766,-0.061291,-0.092112,-0.124431,-0.157110,-0.189334,-0.220857
-0.011779,-0.034321,-0.062279,-0.093542,-0.126297,-0.159400,-0.192034,-0.223953
-0.011968,-0.034898,-0.063310,-0.095039,-0.128253,-0.161805,-0.194872,-0.227212
-0.012127,-0.035395,-0.064211,-0.096357,-0.129991,-0.163956,-0.197428,-0.230161
-0.012244,-0.035763,-0.064874,-0.097321,-0.131256,-0.165521,-0.199286,-0.232306
-0.012322,-0.035997,-0.065276,-0.097882,-0.131969,-0.166380,-0.200287,-0.233448
-0.012355,-0.036081,-0.065398,-0.098028,-0.132129,-0.166548,-0.200461,-0.233628
-0.012329,-0.035991,-0.065216,-0.097740,-0.131732,-0.166041,-0.199849,-0.232914
-0.012237,-0.035710,-0.064706,-0.096993,-0.130751,-0.164836,-0.198428,-0.231287
-0.012085,-0.035251,-0.063883,-0.095798,-0.129192,-0.162927,-0.196184,-0.228721
-0.011891,-0.034660,-0.062820,-0.094250,-0.127163,-0.160429,-0.193236,-0.225337
-0.011660,-0.033964,-0.061578,-0.092442,-0.124792,-0.157507,-0.189778,-0.221362
-0.011408,-0.033208,-0.060231,-0.090487,-0.122230,-0.154351,-0.186046,-0.217071
-0.011177,-0.032505,-0.058969,-0.088642,-0.119800,-0.151343,-0.182477,-0.212956
-0.010991,-0.031935,-0.057944,-0.087144,-0.117824,-0.148893,-0.179561,-0.209584
-0.010851,-0.031515,-0.057205,-0.086084,-0.116446,-0.147204,-0.177565,-0.207289
-0.010768,-0.031271,-0.056793,-0.085514,-0.115728,-0.146343,-0.176567,-0.206156
-0.010746,-0.031216,-0.056722,-0.085446,-0.115670,-0.146300,-0.176538,-0.206140
-0.010771,-0.031310,-0.056926,-0.085782,-0.116148,-0.146921,-0.177300,-0.207036
-0.010818,-0.031477,-0.057265,-0.086318,-0.116895,-0.147881,-0.178470,-0.208411
-0.010865,-0.031646,-0.057600,-0.086841,-0.117616,-0.148805,-0.179595,-0.209731
-0.010892,-0.031751,-0.057812,-0.087168,-0.118064,-0.149378,-0.180292,-0.210550
-0.010896,-0.031772,-0.057856,-0.087232,-0.118146,-0.149477,-0.180409,-0.210686
-0.010892,-0.031753,-0.057807,-0.087137,-0.117996,-0.149266,-0.180136,-0.210353
-0.010891,-0.031734,-0.057751,-0.087030,-0.117826,-0.149025,-0.179823,-0.209967
-0.010893,-0.031732,-0.057736,-0.086997,-0.117770,-0.148944,-0.179714,-0.209831
-0.010900,-0.031753,-0.057776,-0.087060,-0.117858,-0.149058,-0.179854,-0.209996
-0.010928,-0.031834,-0.057919,-0.087269,-0.118134,-0.149400,-0.180261,-0.210466
-0.010998,-0.032029,-0.058254,-0.087742,-0.118739,-0.150129,-0.181107,-0.211424
-0.011114,-0.032362,-0.058831,-0.088565,-0.119798,-0.151413,-0.182605,-0.213128
-0.011279,-0.032842,-0.059674,-0.089778,-0.121376,-0.153346,-0.184879,-0.215731
-0.011497,-0.033484,-0.060804,-0.091409,-0.123503,-0.155956,-0.187955,-0.219258
-0.011768,-0.034286,-0.062218,-0.093448,-0.126160,-0.159212,-0.191791,-0.223654
-0.012084,-0.035229,-0.063884,-0.095849,-0.129286,-0.163043,-0.196301,-0.228823
-0.012402,-0.036195,-0.065613,-0.098361,-0.132576,-0.167094,-0.201091,-0.234329
-0.012651,-0.036974,-0.067028,-0.100448,-0.135348,-0.170551,-0.205220,-0.239115
-0.012785,-0.037403,-0.067812,-0.101613,-0.136912,-0.172525,-0.207608,-0.241910
-0.012767,-0.037363,-0.067739,-0.101503,-0.136771,-0.172365,-0.207438,-0.241737
-0.012552,-0.036734,-0.066609,-0.099843,-0.134584,-0.169664,-0.204244,-0.238071
-0.012122,-0.035459,-0.064331,-0.096525,-0.130235,-0.164315,-0.197936,-0.230841
-0.011547,-0.033714,-0.061189,-0.091927,-0.124186,-0.156852,-0.189109,-0.220700
-0.010956,-0.031882,-0.057841,-0.086965,-0.117582,-0.148617,-0.179281,-0.209324
-0.010409,-0.030185,-0.054739,-0.082363,-0.111443,-0.140937,-0.170079,-0.198630
-0.009912,-0.028672,-0.052024,-0.078399,-0.106223,-0.134470,-0.162384,-0.189728
-0.009498,-0.027432,-0.049841,-0.075265,-0.102153,-0.129485,-0.156503,-0.182966
-0.009197,-0.026546,-0.048315,-0.073108,-0.099381,-0.126114,-0.152544,-0.178427
-0.009018,-0.026035,-0.047471,-0.071955,-0.097934,-0.124382,-0.150533,-0.176139
-0.008950,-0.025871,-0.047258,-0.071733,-0.097724,-0.124192,-0.150365,-0.175991
-0.008978,-0.026000,-0.047579,-0.072299,-0.098555,-0.125296,-0.151738,-0.177626
