Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-0.00718934,-0.020153,-0.0366708,-0.0560772,-0.076963,-0.0983603,-0.119537,-0.140249
-0.00775411,-0.0219812,-0.040306,-0.0618262,-0.084943,-0.108584,-0.131958,-0.154791
-0.00860921,-0.0247271,-0.0456204,-0.0700474,-0.0961859,-0.122846,-0.149163,-0.174834
-0.00969138,-0.0281576,-0.0520628,-0.0797531,-0.109215,-0.139168,-0.168691,-0.197467
-0.0108536,-0.0318262,-0.05882,-0.0897583,-0.122491,-0.155673,-0.188352,-0.220207
-0.0119622,-0.0353493,-0.0652618,-0.0992153,-0.134972,-0.171149,-0.206774,-0.241525
-0.0129652,-0.0385285,-0.0710357,-0.107643,-0.146053,-0.184865,-0.223095,-0.260423
-0.0138703,-0.0412944,-0.0759574,-0.114762,-0.155368,-0.196365,-0.236762,-0.276244
-0.0146881,-0.0436362,-0.0799618,-0.120447,-0.16273,-0.205394,-0.247449,-0.288576
-0.015382,-0.0455169,-0.0830345,-0.124686,-0.16811,-0.211898,-0.255063,-0.297294
-0.0159035,-0.046875,-0.085157,-0.127505,-0.171579,-0.215986,-0.259754,-0.30258
-0.0162256,-0.0476661,-0.0863037,-0.128925,-0.173225,-0.217826,-0.261774,-0.304779
-0.0163576,-0.0479172,-0.0865181,-0.129012,-0.17314,-0.217553,-0.261313,-0.304134
-0.0163167,-0.047679,-0.0858999,-0.127918,-0.17153,-0.21542,-0.258668,-0.300998
-0.0161099,-0.0469972,-0.0845767,-0.125882,-0.16876,-0.21192,-0.254458,-0.296106
-0.0157945,-0.0460258,-0.0827984,-0.123253,-0.16528,-0.207607,-0.24934,-0.29021
-0.0154446,-0.0449552,-0.0808621,-0.120416,-0.161547,-0.202998,-0.243881,-0.283928
-0.0151069,-0.0439197,-0.078996,-0.117691,-0.157968,-0.198579,-0.238645,-0.277897
-0.0148129,-0.0430127,-0.0773656,-0.115321,-0.154862,-0.194752,-0.234113,-0.272675
-0.0145742,-0.042289,-0.0760855,-0.113479,-0.152464,-0.191806,-0.230632,-0.268669
-0.0143859,-0.0417491,-0.0751714,-0.1122,-0.150832,-0.189829,-0.228317,-0.266024
-0.0142345,-0.0413444,-0.0745286,-0.111348,-0.149791,-0.188615,-0.226939,-0.264485
-0.0141336,-0.0410867,-0.0741399,-0.110855,-0.149213,-0.187967,-0.226228,-0.263713
-0.0141099,-0.041039,-0.0740919,-0.110816,-0.149187,-0.187953,-0.226224,-0.263718
-0.0141545,-0.0411872,-0.0743777,-0.111247,-0.149758,-0.188655,-0.22705,-0.264662
-0.0142504,-0.0414877,-0.0749322,-0.11207,-0.150851,-0.190014,-0.228666,-0.266525
-0.0143983,-0.0419392,-0.0757477,-0.113264,-0.152424,-0.191958,-0.23097,-0.269178
-0.0145936,-0.0425307,-0.0768056,-0.114798,-0.154429,-0.19442,-0.233873,-0.272507
-0.0148092,-0.0431898,-0.077988,-0.116518,-0.15668,-0.19719,-0.237145,-0.276265
-0.0150097,-0.0438073,-0.0791014,-0.118147,-0.158827,-0.199849,-0.240303,-0.27991
-0.015181,-0.0443225,-0.0800161,-0.119474,-0.160568,-0.201999,-0.242855,-0.282853
-0.0153157,-0.0447115,-0.0806823,-0.120413,-0.161771,-0.203458,-0.244562,-0.284802
-0.0153993,-0.0449412,-0.0810546,-0.120914,-0.162389,-0.204183,-0.24539,-0.285731
-0.0154164,-0.0449762,-0.0810863,-0.120929,-0.16238,-0.20415,-0.245333,-0.285652
-0.0153562,-0.0447901,-0.080739,-0.12041,-0.161692,-0.203299,-0.244326,-0.284496
-0.0152211,-0.0443874,-0.0800158,-0.119354,-0.16031,-0.201602,-0.242328,-0.28221
-0.0150285,-0.04381,-0.0789817,-0.117847,-0.158332,-0.199167,-0.239452,-0.278909
-0.014788,-0.043087,-0.0776919,-0.115973,-0.15588,-0.19615,-0.235889,-0.274816
-0.014513,-0.0422604,-0.0762226,-0.113847,-0.153103,-0.192738,-0.231862,-0.270193
-0.0142421,-0.0414438,-0.0747706,-0.111738,-0.150336,-0.189325,-0.227818,-0.265536
-0.0139994,-0.0407213,-0.0734985,-0.109899,-0.147927,-0.186349,-0.224288,-0.261463
-0.0137962,-0.0401291,-0.072477,-0.108448,-0.146051,-0.184056,-0.221588,-0.258364
-0.0136505,-0.0397135,-0.071777,-0.107472,-0.144811,-0.182561,-0.219844,-0.256378
-0.013573,-0.039502,-0.0714388,-0.10702,-0.144253,-0.181902,-0.219087,-0.255523
-0.0135528,-0.0394656,-0.0714129,-0.107022,-0.144291,-0.181981,-0.219206,-0.25568
-0.0135652,-0.0395329,-0.0715747,-0.107301,-0.144699,-0.182523,-0.219882,-0.256486
-0.0135901,-0.0396366,-0.0717962,-0.107659,-0.145206,-0.183184,-0.220696,-0.25745
-0.0136066,-0.0397111,-0.0719566,-0.107917,-0.145569,-0.183654,-0.221273,-0.258132
-0.0136105,-0.0397351,-0.0720096,-0.107999,-0.14568,-0.183796,-0.221445,-0.258334
-0.0136166,-0.039748,-0.0720216,-0.107999,-0.145659,-0.183748,-0.221371,-0.258232
-0.0136321,-0.0397827,-0.0720669,-0.108043,-0.145691,-0.183761,-0.221359,-0.258197
-0.0136562,-0.0398483,-0.0721764,-0.108194,-0.14588,-0.183983,-0.221612,-0.258478
-0.0136875,-0.0399434,-0.0723494,-0.108451,-0.146224,-0.184414,-0.222128,-0.259076
-0.0137404,-0.0400981,-0.0726224,-0.108847,-0.146743,-0.185055,-0.222887,-0.259951
-0.0138345,-0.0403642,-0.0730778,-0.109489,-0.147565,-0.186046,-0.22404,-0.26126
-0.0139743,-0.0407627,-0.0737632,-0.11046,-0.14881,-0.187552,-0.225795,-0.263254
-0.0141609,-0.0413028,-0.0747028,-0.111803,-0.150548,-0.189672,-0.228282,-0.266095
-0.0143975,-0.0419976,-0.0759206,-0.113552,-0.15282,-0.192451,-0.231549,-0.269836
-0.0146864,-0.0428503,-0.0774193,-0.115707,-0.155621,-0.195878,-0.235582,-0.274454
-0.0150292,-0.0438538,-0.0791775,-0.118234,-0.158904,-0.199896,-0.24031,-0.27987
-0.015383,-0.0448953,-0.0810099,-0.120882,-0.162362,-0.204148,-0.245331,-0.285639
-0.0156726,-0.045755,-0.0825307,-0.123102,-0.165295,-0.207793,-0.249676,-0.290667
-0.015845,-0.0462587,-0.0834058,-0.124374,-0.166984,-0.209911,-0.252226,-0.293643
-0.015849,-0.046267,-0.0833945,-0.124335,-0.166922,-0.209836,-0.252148,-0.293568
-0.0156382,-0.0456523,-0.082289,-0.122704,-0.164765,-0.207165,-0.248983,-0.289929
-0.0151977,-0.0443629,-0.0799994,-0.119372,-0.160397,-0.201794,-0.242648,-0.282668
-0.014604,-0.0425772,-0.076799,-0.114701,-0.154265,-0.194237,-0.233718,-0.272415
-0.0139767,-0.0406526,-0.0733155,-0.109574,-0.147473,-0.185796,-0.223664,-0.260791
-0.0133687,-0.0388083,-0.0700019,-0.104708,-0.141023,-0.17776,-0.214063,-0.249655
-0.0128089,-0.0371363,-0.0670391,-0.10041,-0.135386,-0.170795,-0.205791,-0.240099
-0.0123371,-0.035741,-0.0645972,-0.0969055,-0.130829,-0.165205,-0.199187,-0.232498
-0.0119803,-0.0346974,-0.0627968,-0.0943481,-0.127524,-0.161163,-0.19442,-0.227014
-0.0117432,-0.0340203,-0.0616611,-0.0927699,-0.125515,-0.158733,-0.191575,-0.223757
-0.0116185,-0.0336904,-0.0611584,-0.0921293,-0.124756,-0.157865,-0.190603,-0.222682
-0.0115957,-0.0336734,-0.0612221,-0.0923228,-0.125103,-0.158377,-0.191279,-0.223519
-0.0116463,-0.0338823,-0.0616917,-0.0931079,-0.126227,-0.159845,-0.193087,-0.225655
-0.0117687,-0.0342851,-0.0624744,-0.0943105,-0.127859,-0.161903,-0.19556,-0.228528
-0.0120034,-0.034981,-0.0637155,-0.0961061,-0.130193,-0.164753,-0.198905,-0.232351
