Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-0.0595176,-0.174339,-0.308663,-0.451503,-0.597659,-0.744397,-0.889943,-1.0336
-0.0595175,-0.174336,-0.308655,-0.451488,-0.597636,-0.744366,-0.889904,-1.03355
-0.0595173,-0.174334,-0.30865,-0.451481,-0.597626,-0.744353,-0.889888,-1.03353
-0.0595227,-0.174347,-0.30867,-0.451507,-0.597658,-0.74439,-0.88993,-1.03358
-0.0595374,-0.174387,-0.308737,-0.451601,-0.597776,-0.74453,-0.89009,-1.03376
-0.0595569,-0.174445,-0.308841,-0.451752,-0.597973,-0.744773,-0.890377,-1.03408
-0.0595736,-0.174501,-0.308946,-0.45191,-0.598188,-0.745045,-0.890705,-1.03447
-0.0595837,-0.174538,-0.309019,-0.452023,-0.598343,-0.745244,-0.89095,-1.03476
-0.05959,-0.174559,-0.309057,-0.452078,-0.598415,-0.745333,-0.891055,-1.03488
-0.0595986,-0.17458,-0.309088,-0.452113,-0.598451,-0.745367,-0.891086,-1.03491
-0.0596122,-0.174613,-0.309138,-0.452176,-0.598522,-0.745443,-0.891164,-1.03499
-0.0596254,-0.174651,-0.309203,-0.452269,-0.598642,-0.745587,-0.891333,-1.03518
-0.0596297,-0.17467,-0.309243,-0.452334,-0.598737,-0.745715,-0.891494,-1.03537
-0.059628,-0.174669,-0.309246,-0.452344,-0.598757,-0.745748,-0.89154,-1.03543
-0.0596251,-0.174659,-0.309226,-0.452312,-0.59871,-0.745687,-0.891465,-1.03534
-0.0596146,-0.174627,-0.309166,-0.452223,-0.59859,-0.745535,-0.891281,-1.03513
-0.0595981,-0.174575,-0.309071,-0.452083,-0.598406,-0.745306,-0.891011,-1.03482
-0.0595852,-0.17453,-0.308985,-0.451952,-0.598228,-0.745082,-0.89074,-1.0345
-0.0595813,-0.174511,-0.308945,-0.451886,-0.598135,-0.744959,-0.890587,-1.03432
