Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-7.18051e-07,-6.85197e-06,-1.93614e-05,-3.82293e-05,-6.31447e-05,-9.34755e-05,-0.000128286,-0.000166449
-1.26799e-06,-8.40275e-06,-2.20858e-05,-4.21601e-05,-6.82263e-05,-9.96129e-05,-0.000135381,-0.000174424
-1.88118e-06,-1.02448e-05,-2.55208e-05,-4.73951e-05,-7.53334e-05,-0.000108563,-0.000146081,-0.000186763
-3.01643e-06,-1.33946e-05,-3.10457e-05,-5.54401e-05,-8.58988e-05,-0.000121564,-0.000161391,-0.00020425
-4.79952e-06,-1.83972e-05,-3.98441e-05,-6.82013e-05,-0.000102523,-0.000141818,-0.000185011,-0.000231014
-6.48356e-06,-2.34683e-05,-4.92817e-05,-8.25261e-05,-0.000121883,-0.000166101,-0.000213957,-0.000264331
-7.1408e-06,-2.59081e-05,-5.44939e-05,-9.1261e-05,-0.000134608,-0.000183004,-0.000234984,-0.000289288
-6.42539e-06,-2.42735e-05,-5.22144e-05,-8.87431e-05,-0.000132267,-0.000181165,-0.000233838,-0.000288896
-4.92909e-06,-1.98169e-05,-4.39991e-05,-7.63817e-05,-0.000115699,-0.000160556,-0.000209471,-0.000261076
-3.74621e-06,-1.5738e-05,-3.56499e-05,-6.27776e-05,-9.62784e-05,-0.000135154,-0.000178246,-0.000224359
-3.56206e-06,-1.45729e-05,-3.25695e-05,-5.69572e-05,-8.71073e-05,-0.000122294,-0.000161631,-0.000204111
-4.01492e-06,-1.58789e-05,-3.48807e-05,-6.02713e-05,-9.13155e-05,-0.000127235,-0.00016714,-0.000210055
-4.10264e-06,-1.67729e-05,-3.74405e-05,-6.52211e-05,-9.91491e-05,-0.000138175,-0.000181158,-0.000226961
-4.00825e-06,-1.68233e-05,-3.80864e-05,-6.69528e-05,-0.000102396,-0.000143227,-0.000188127,-0.000235816
-4.0094e-06,-1.67121e-05,-3.77075e-05,-6.61711e-05,-0.000101128,-0.000141453,-0.000185886,-0.000233173
-3.35398e-06,-1.48605e-05,-3.43812e-05,-6.11905e-05,-9.4394e-05,-0.00013294,-0.000175639,-0.000221288
-2.42903e-06,-1.20689e-05,-2.92036e-05,-5.33851e-05,-8.39308e-05,-0.000119921,-0.000160226,-0.000203641
-2.35181e-06,-1.14035e-05,-2.73563e-05,-4.98685e-05,-7.84215e-05,-0.000112276,-0.000150456,-0.000191847
-3.4601e-06,-1.42246e-05,-3.18556e-05,-5.57783e-05,-8.53804e-05,-0.000119949,-0.000158611,-0.00020037
-5.78736e-06,-2.07952e-05,-4.3493e-05,-7.27753e-05,-0.00010766,-0.000147224,-0.00019051,-0.000236547
-7.40871e-06,-2.63187e-05,-5.4637e-05,-9.06691e-05,-0.000132861,-0.000179807,-0.000230198,-0.000282906
-5.06248e-06,-2.13875e-05,-4.84587e-05,-8.48126e-05,-0.000128712,-0.000178296,-0.000231727,-0.000287458
-1.93361e-07,-7.60478e-06,-2.42007e-05,-4.9831e-05,-8.36108e-05,-0.000124064,-0.000169369,-0.000217753
