Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-0.00136587,-0.00438573,-0.00858444,-0.0134488,-0.0186201,-0.0238257,-0.0289005,-0.0338174
-0.00137159,-0.0044023,-0.00861366,-0.013491,-0.0186751,-0.0238927,-0.028979,-0.0339067
-0.00137866,-0.00442358,-0.00865218,-0.0135479,-0.0187507,-0.0239869,-0.0290911,-0.0340361
-0.00139011,-0.00445629,-0.00870917,-0.0136298,-0.0188572,-0.0241173,-0.0292446,-0.034212
-0.00140737,-0.00450553,-0.0087945,-0.0137515,-0.0190139,-0.0243074,-0.0294664,-0.0344643
-0.00142627,-0.00456171,-0.00889469,-0.0138977,-0.0192063,-0.0245448,-0.0297472,-0.0347868
-0.00144068,-0.00460754,-0.00897995,-0.0140263,-0.0193802,-0.0247648,-0.0300125,-0.0350962
-0.00144747,-0.00463117,-0.00902565,-0.0140969,-0.0194779,-0.0248907,-0.0301671,-0.035279
-0.00144869,-0.00463501,-0.00903144,-0.0141036,-0.0194851,-0.0248987,-0.0301761,-0.0352893
-0.00144918,-0.00463243,-0.00902054,-0.0140799,-0.0194455,-0.0248414,-0.0301008,-0.0351966
-0.00145164,-0.0046347,-0.00901762,-0.0140676,-0.0194205,-0.0248014,-0.030045,-0.035125
-0.00145355,-0.00463893,-0.00902347,-0.0140748,-0.0194286,-0.0248098,-0.0300531,-0.0351327
-0.00144957,-0.00463059,-0.00901344,-0.0140664,-0.0194247,-0.0248125,-0.0300632,-0.0351501
-0.0014425,-0.00461182,-0.00898306,-0.0140261,-0.0193769,-0.0247591,-0.0300058,-0.0350892
-0.00143589,-0.00459129,-0.00894484,-0.0139681,-0.0192979,-0.024659,-0.0298849,-0.0349484
-0.00142554,-0.00456047,-0.00888918,-0.0138855,-0.0191874,-0.0245202,-0.0297183,-0.0347546
-0.00141314,-0.00452292,-0.00882137,-0.0137859,-0.0190561,-0.024358,-0.0295263,-0.0345339
-0.00140589,-0.00449839,-0.00877421,-0.0137135,-0.018957,-0.0242318,-0.0293734,-0.0343552
-0.00140716,-0.00449875,-0.00877126,-0.0137054,-0.0189417,-0.0242078,-0.0293397,-0.0343117
-0.0014186,-0.0045301,-0.00882523,-0.0137826,-0.0190415,-0.0243289,-0.0294807,-0.0344715
-0.00142964,-0.00456743,-0.00889848,-0.0138974,-0.0192006,-0.0245331,-0.0297291,-0.0347625
-0.00141952,-0.00455172,-0.00888834,-0.0139028,-0.0192299,-0.0245917,-0.0298194,-0.034884
-0.00139426,-0.00448364,-0.00877463,-0.0137453,-0.0190333,-0.0243614,-0.0295597,-0.0345974
-0.00137571,-0.0044195,-0.00864671,-0.0135412,-0.0187454,-0.0239866,-0.0290988,-0.0340535
-0.0013633,-0.0043726,-0.00854868,-0.0133801,-0.0185119,-0.0236747,-0.0287065,-0.0335822
-0.00135694,-0.00434837,-0.00850007,-0.0133045,-0.018408,-0.0235415,-0.0285438,-0.0333901
-0.00137257,-0.00438893,-0.00856831,-0.0134019,-0.0185345,-0.0236964,-0.028726,-0.0335983
-0.00141945,-0.00452193,-0.00880116,-0.0137381,-0.0189721,-0.024231,-0.0293526,-0.034313
-0.00148445,-0.00471676,-0.00915327,-0.014258,-0.0196616,-0.025087,-0.0303692,-0.0354841
-0.00154327,-0.00490498,-0.00950644,-0.0147934,-0.0203879,-0.0260065,-0.0314788,-0.0367779
-0.00158893,-0.00505305,-0.00978424,-0.0152132,-0.020957,-0.0267281,-0.0323522,-0.0377996
-0.00162222,-0.00515558,-0.00996698,-0.0154764,-0.0212993,-0.027148,-0.0328481,-0.0383698
-0.00163601,-0.00519535,-0.0100313,-0.0155595,-0.0213965,-0.0272559,-0.0329651,-0.038496
-0.00162041,-0.00514943,-0.00994584,-0.0154297,-0.0212208,-0.0270348,-0.0327002,-0.038189
-0.00156847,-0.00499938,-0.00968071,-0.0150459,-0.0207208,-0.0264235,-0.0319829,-0.0373703
-0.00148125,-0.00474461,-0.0092292,-0.0143905,-0.0198639,-0.025372,-0.0307451,-0.0359534
-0.00136817,-0.00440838,-0.00862644,-0.013507,-0.0186984,-0.0239301,-0.0290361,-0.033987
-0.00123149,-0.00400222,-0.00789924,-0.012442,-0.0172936,-0.0221913,-0.0269734,-0.0316112
-0.00107946,-0.00354985,-0.00709135,-0.0112625,-0.0157425,-0.0202764,-0.0247063,-0.0290035
-0.000943849,-0.00313708,-0.00634517,-0.0101636,-0.0142871,-0.0184689,-0.0225563,-0.0265217
-0.000841006,-0.00282207,-0.00577547,-0.00932403,-0.013172,-0.0170784,-0.0208951,-0.0245967
-0.000771381,-0.00261409,-0.00541073,-0.00880136,-0.0124932,-0.016246,-0.019912,-0.023466
-0.00074073,-0.00252765,-0.00527221,-0.00862017,-0.0122761,-0.0159971,-0.0196332,-0.0231573
-0.000750855,-0.00256552,-0.00535931,-0.00877093,-0.0124969,-0.0162894,-0.0199954,-0.0235863
-0.000788117,-0.00268923,-0.00560436,-0.0091558,-0.0130287,-0.0169686,-0.0208183,-0.0245476
-0.000829775,-0.00283187,-0.0058876,-0.00960017,-0.0136436,-0.0177566,-0.0217766,-0.0256708
-0.000859416,-0.00293844,-0.00610181,-0.00993723,-0.0141117,-0.0183591,-0.022513,-0.0265378
-0.000863289,-0.00296465,-0.00616337,-0.0100394,-0.0142581,-0.0185524,-0.022754,-0.0268263
-0.000842595,-0.00290681,-0.00605918,-0.00988201,-0.014045,-0.0182843,-0.0224332,-0.0264556
-0.000814175,-0.00281239,-0.00587262,-0.00958598,-0.0136299,-0.0177464,-0.021774,-0.0256792
-0.000789102,-0.00272426,-0.00569461,-0.00930112,-0.0132278,-0.0172218,-0.0211266,-0.024912
-0.0007717,-0.00266442,-0.00557744,-0.00911944,-0.0129778,-0.0169018,-0.0207366,-0.0244532
-0.000764548,-0.00264265,-0.00554059,-0.00907025,-0.0129189,-0.0168347,-0.0206619,-0.0243707
-0.000780872,-0.0026887,-0.00562398,-0.00919567,-0.0130883,-0.0170483,-0.0209187,-0.0246691
-0.000836259,-0.00284417,-0.0058943,-0.00958334,-0.0135897,-0.0176578,-0.0216307,-0.0254795
-0.000932809,-0.00312143,-0.00638126,-0.0102863,-0.0145041,-0.0187747,-0.0229405,-0.0269742
-0.00107017,-0.00352176,-0.00708996,-0.0113166,-0.0158544,-0.0204364,-0.024902,-0.0292245
-0.00124828,-0.00404509,-0.00801819,-0.0126665,-0.0176253,-0.0226186,-0.0274814,-0.0321873
-0.00146247,-0.00467782,-0.00914031,-0.0142957,-0.0197597,-0.0252464,-0.0305857,-0.0357518
-0.00170704,-0.00540065,-0.010418,-0.0161449,-0.0221769,-0.028218,-0.0340932,-0.0397773
-0.00194479,-0.00611495,-0.0116906,-0.0179969,-0.0246091,-0.0312201,-0.0376485,-0.0438679
-0.00211455,-0.00663947,-0.0126414,-0.0194042,-0.0264872,-0.0335713,-0.0404655,-0.0471379
-0.00217887,-0.00684276,-0.013011,-0.0199599,-0.0272467,-0.0345468,-0.0416617,-0.0485528
-0.00210622,-0.00663354,-0.0126335,-0.0194065,-0.0265231,-0.0336646,-0.0406331,-0.0473877
-0.0018687,-0.00593983,-0.0113951,-0.0175917,-0.0241297,-0.0307064,-0.037132,-0.0433664
-0.00146836,-0.00476526,-0.00930265,-0.0145329,-0.0201019,-0.0257315,-0.0312442,-0.0366014
-0.000977289,-0.00329378,-0.0066502,-0.0106262,-0.0149283,-0.0193112,-0.0236155,-0.0278054
-0.000506451,-0.00184165,-0.00398564,-0.00665107,-0.00960792,-0.012649,-0.0156401,-0.0185541
-9.91114e-05,-0.000580812,-0.00167623,-0.00321431,-0.0050131,-0.00689325,-0.00874073,-0.0105375
0.000241205,0.00044629,0.000155177,-0.000552872,-0.00152292,-0.0025858,-0.00363273,-0.00464558
0.000487068,0.00116614,0.00139423,0.00119301,0.000709462,0.000114,-0.000480762,-0.00105119
0.000617658,0.00152879,0.00197673,0.00196572,0.00165194,0.00121383,0.000770139,0.000349052
0.000637723,0.00155385,0.00194865,0.0018436,0.00141686,0.000859838,0.00029921,-0.000233232
0.000566202,0.00130209,0.0014258,0.00100137,0.000236593,-0.000660459,-0.00155269,-0.00240393
0.00043129,0.00086185,0.000572562,-0.000313661,-0.00155584,-0.00292823,-0.00428261,-0.00557876
0.000279686,0.000367663,-0.000373869,-0.00175825,-0.00351303,-0.00539613,-0.00724856,-0.00902617
0.000120979,-0.000130107,-0.00129629,-0.00313395,-0.00534856,-0.00768771,-0.00998542,-0.0121951
-8.16263e-05,-0.000719679,-0.00232693,-0.00460421,-0.00724174,-0.00998457,-0.0126686,-0.015252
-0.000334846,-0.00144618,-0.0035826,-0.00638142,-0.00951379,-0.012721,-0.0158433,-0.0188473
-0.000639659,-0.00233005,-0.00512764,-0.00859659,-0.0123831,-0.0162187,-0.0199419,-0.0235243
-0.00101824,-0.00343575,-0.00707069,-0.011398,-0.0160332,-0.0206936,-0.0252119,-0.0295623
-0.0014891,-0.00481468,-0.00949307,-0.0148878,-0.0205773,-0.026262,-0.0317684,-0.0370742
-0.00206468,-0.00648703,-0.0124151,-0.0190889,-0.0260422,-0.0329556,-0.039649,-0.0461035
-0.00272313,-0.00837642,-0.0156937,-0.0238046,-0.0321923,-0.0405113,-0.0485699,-0.0563503
-0.00339462,-0.0102957,-0.0190112,-0.0285799,-0.038439,-0.0482156,-0.0577016,-0.0668761
-0.00399669,-0.012033,-0.0220238,-0.0329171,-0.0441152,-0.0552229,-0.0660177,-0.0764757
-0.00446032,-0.0133867,-0.0243893,-0.0363334,-0.0485937,-0.0607588,-0.0725956,-0.0840786
-0.00473754,-0.0142025,-0.0258237,-0.0384142,-0.0513314,-0.0641551,-0.076645,-0.0887719
-0.0048303,-0.0144704,-0.026276,-0.0390465,-0.0521412,-0.0651421,-0.0778101,-0.0901149
-0.00478882,-0.0143159,-0.0259347,-0.0384694,-0.0513044,-0.064039,-0.0764464,-0.0885023
-0.00462233,-0.0137916,-0.0249305,-0.0369199,-0.0491832,-0.0613445,-0.0731937,-0.0847142
-0.00432279,-0.012893,-0.0232894,-0.0344826,-0.0459442,-0.0573226,-0.0684197,-0.07922
-0.00392137,-0.0116969,-0.0211333,-0.0313152,-0.0417689,-0.0521692,-0.0623286,-0.0722287
-0.00344137,-0.0102672,-0.0185763,-0.0275808,-0.036859,-0.0461113,-0.0551627,-0.0639944
-0.00288441,-0.00861916,-0.0156574,-0.02335,-0.0313251,-0.0393048,-0.0471239,-0.0547619
-0.0022486,-0.00676717,-0.012418,-0.0186866,-0.025249,-0.0318477,-0.0383247,-0.0446558
-0.00155667,-0.00476807,-0.00893743,-0.0136825,-0.0187287,-0.0238407,-0.028869,-0.0337866
-0.000852532,-0.00271874,-0.00534034,-0.00847887,-0.0119184,-0.0154512,-0.0189394,-0.0223535
-0.000155191,-0.000668996,-0.00171466,-0.00320615,-0.0049905,-0.00689021,-0.00878161,-0.0106336
0.000544629,0.00139132,0.0019256,0.00207787,0.001942,0.00166823,0.00136667,0.00106913
