Nodo_1001,Nodo_1002,Nodo_1003,Nodo_1004,Nodo_1005,Nodo_1006,Nodo_1007,Nodo_1008
-0.00271494,-0.00763582,-0.0141574,-0.0220571,-0.0307073,-0.0396088,-0.0484009,-0.0569593
-0.00330624,-0.00950008,-0.017715,-0.0275103,-0.0381267,-0.0489901,-0.0596874,-0.0700713
-0.00404293,-0.0118376,-0.022111,-0.034152,-0.0470647,-0.0602012,-0.073109,-0.0856309
-0.00484642,-0.0143703,-0.0267864,-0.0410987,-0.056313,-0.0717281,-0.0868591,-0.101541
-0.00563307,-0.0168357,-0.031275,-0.0476814,-0.0649924,-0.0824739,-0.0996235,-0.116275
-0.00632478,-0.0190056,-0.0352017,-0.0533999,-0.0724888,-0.0917165,-0.110574,-0.128898
-0.00688767,-0.0207565,-0.0383394,-0.0579366,-0.078409,-0.0989985,-0.119194,-0.138836
-0.00732576,-0.022052,-0.0405882,-0.0611384,-0.0825511,-0.104068,-0.125178,-0.145724
-0.00763398,-0.0228878,-0.0419441,-0.0629908,-0.0848832,-0.106868,-0.128439,-0.149444
-0.00778885,-0.0232575,-0.042455,-0.0635885,-0.0855348,-0.107557,-0.129159,-0.150196
-0.00778377,-0.0231718,-0.0421836,-0.0630668,-0.0847277,-0.106449,-0.12775,-0.148494
-0.00762952,-0.0226728,-0.0412279,-0.0616058,-0.0827451,-0.103947,-0.124743,-0.145003
-0.00736849,-0.0218728,-0.0397744,-0.0594718,-0.0799352,-0.10048,-0.120645,-0.140298
-0.00706331,-0.0209392,-0.0380895,-0.0570104,-0.0767033,-0.0964974,-0.115938,-0.134892
-0.00675882,-0.020009,-0.0364104,-0.0545483,-0.0734545,-0.0924742,-0.111163,-0.129388
-0.00648059,-0.0191628,-0.0348864,-0.0523151,-0.0705076,-0.0888236,-0.106826,-0.124386
-0.00625077,-0.0184651,-0.0336363,-0.0504929,-0.0681137,-0.0858672,-0.103321,-0.120347
-0.00608929,-0.0179756,-0.0327673,-0.0492378,-0.0664749,-0.0838512,-0.100937,-0.117601
-0.00600592,-0.017725,-0.0323351,-0.0486307,-0.0656987,-0.0829098,-0.0998328,-0.116337
-0.00600072,-0.0177149,-0.032342,-0.0486747,-0.065789,-0.0830489,-0.100019,-0.116568
-0.00605545,-0.0178954,-0.0327017,-0.0492448,-0.0665828,-0.0840681,-0.101258,-0.118018
-0.00613486,-0.0181622,-0.0332254,-0.050062,-0.0677104,-0.0855101,-0.103009,-0.120067
-0.00622733,-0.0184615,-0.0337904,-0.0509172,-0.068867,-0.0869704,-0.104768,-0.122117
-0.00633723,-0.0187954,-0.0343887,-0.0517842,-0.0699984,-0.0883585,-0.106405,-0.123994
-0.00644736,-0.0191267,-0.034976,-0.0526275,-0.0710885,-0.0896835,-0.107954,-0.125759
-0.00654522,-0.0194229,-0.0355037,-0.0533909,-0.0720845,-0.0909059,-0.109395,-0.127412
-0.00663981,-0.0197044,-0.0359997,-0.0541036,-0.0730106,-0.0920398,-0.11073,-0.128943
-0.00673743,-0.0199901,-0.0364969,-0.0548107,-0.0739202,-0.0931433,-0.112019,-0.130411
-0.00682439,-0.0202488,-0.036951,-0.0554612,-0.0747629,-0.0941716,-0.113226,-0.13179
-0.00687791,-0.0204168,-0.0372547,-0.0559072,-0.0753545,-0.0949093,-0.114108,-0.132812
-0.00689566,-0.0204745,-0.0373577,-0.0560573,-0.0755551,-0.0951639,-0.114418,-0.133178
-0.00688499,-0.0204376,-0.0372796,-0.0559285,-0.0753715,-0.0949249,-0.114126,-0.132835
-0.0068462,-0.0203125,-0.0370404,-0.0555612,-0.0748694,-0.0942868,-0.113354,-0.131935
-0.00677667,-0.0200989,-0.0366493,-0.0549822,-0.0741007,-0.0933315,-0.112218,-0.130626
-0.00667563,-0.0197967,-0.0361091,-0.0541975,-0.0730751,-0.0920731,-0.110737,-0.128929
-0.00654823,-0.0194167,-0.0354328,-0.0532177,-0.0717967,-0.0905062,-0.108893,-0.126819
-0.00640534,-0.0189871,-0.0346646,-0.0520993,-0.0703302,-0.0887006,-0.10676,-0.124371
-0.00624825,-0.0185185,-0.0338307,-0.050888,-0.0687428,-0.086745,-0.104448,-0.121713
-0.00608469,-0.018032,-0.0329683,-0.0496387,-0.0671096,-0.084737,-0.102077,-0.11899
-0.00594699,-0.0176125,-0.0322149,-0.0485369,-0.0656573,-0.0829392,-0.0999425,-0.116529
-0.00584925,-0.0173124,-0.0316757,-0.0477477,-0.0646138,-0.0816413,-0.0983939,-0.114736
-0.0057895,-0.0171342,-0.031367,-0.0473113,-0.0640526,-0.0809577,-0.0975902,-0.113814
-0.00577188,-0.0170871,-0.0313007,-0.0472378,-0.0639795,-0.0808889,-0.0975267,-0.113755
-0.00579652,-0.0171689,-0.0314668,-0.0475044,-0.064353,-0.0813702,-0.0981132,-0.114442
-0.00584811,-0.0173359,-0.0317881,-0.0479985,-0.0650268,-0.0822237,-0.0991418,-0.11564
-0.00590135,-0.0175141,-0.0321324,-0.0485283,-0.0657515,-0.0831456,-0.100258,-0.116944
-0.00593755,-0.0176417,-0.032382,-0.0489131,-0.0662795,-0.0838205,-0.101079,-0.117908
-0.00594166,-0.0176701,-0.0324464,-0.0490169,-0.066426,-0.0840121,-0.101317,-0.118192
-0.00591539,-0.017596,-0.0323131,-0.0488163,-0.066155,-0.0836714,-0.100909,-0.117721
-0.00587799,-0.0174739,-0.0320769,-0.0484478,-0.0656438,-0.083014,-0.100107,-0.116779
-0.00584324,-0.017355,-0.0318435,-0.0480824,-0.0651354,-0.0823569,-0.0993018,-0.115829
-0.00581727,-0.0172676,-0.0316765,-0.0478284,-0.0647901,-0.0819187,-0.098771,-0.115207
