Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.000179,-0.000863,-0.002229,-0.004014,-0.006012,-0.008043,-0.010000,-0.011866
-0.000185,-0.000880,-0.002259,-0.004057,-0.006069,-0.008111,-0.010080,-0.011958
-0.000192,-0.000901,-0.002297,-0.004114,-0.006144,-0.008205,-0.010191,-0.012086
-0.000203,-0.000933,-0.002352,-0.004193,-0.006247,-0.008331,-0.010340,-0.012257
-0.000220,-0.000980,-0.002435,-0.004311,-0.006398,-0.008515,-0.010554,-0.012500
-0.000238,-0.001034,-0.002531,-0.004451,-0.006583,-0.008743,-0.010824,-0.012809
-0.000252,-0.001078,-0.002612,-0.004573,-0.006749,-0.008952,-0.011077,-0.013105
-0.000258,-0.001099,-0.002654,-0.004638,-0.006839,-0.009069,-0.011220,-0.013275
-0.000259,-0.001102,-0.002657,-0.004641,-0.006841,-0.009071,-0.011222,-0.013276
-0.000259,-0.001098,-0.002644,-0.004615,-0.006798,-0.009009,-0.011142,-0.013178
-0.000261,-0.001100,-0.002640,-0.004601,-0.006770,-0.008966,-0.011082,-0.013102
-0.000263,-0.001104,-0.002645,-0.004606,-0.006777,-0.008972,-0.011088,-0.013107
-0.000259,-0.001095,-0.002635,-0.004598,-0.006773,-0.008975,-0.011098,-0.013124
-0.000252,-0.001077,-0.002606,-0.004560,-0.006727,-0.008924,-0.011043,-0.013067
-0.000246,-0.001058,-0.002569,-0.004504,-0.006652,-0.008829,-0.010928,-0.012933
-0.000236,-0.001028,-0.002516,-0.004426,-0.006547,-0.008697,-0.010769,-0.012748
-0.000224,-0.000993,-0.002452,-0.004331,-0.006422,-0.008542,-0.010586,-0.012538
-0.000217,-0.000970,-0.002407,-0.004263,-0.006328,-0.008423,-0.010442,-0.012369
-0.000219,-0.000971,-0.002406,-0.004257,-0.006317,-0.008403,-0.010414,-0.012332
-0.000230,-0.001002,-0.002461,-0.004335,-0.006417,-0.008526,-0.010556,-0.012493
-0.000241,-0.001039,-0.002533,-0.004448,-0.006574,-0.008727,-0.010802,-0.012781
-0.000231,-0.001024,-0.002523,-0.004454,-0.006603,-0.008785,-0.010890,-0.012900
-0.000207,-0.000957,-0.002411,-0.004299,-0.006410,-0.008559,-0.010635,-0.012618
