Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.040550,-0.118529,-0.209749,-0.307066,-0.406951,-0.507451,-0.607169,-0.705530
-0.040550,-0.118526,-0.209742,-0.307052,-0.406931,-0.507423,-0.607133,-0.705486
-0.040549,-0.118525,-0.209738,-0.307045,-0.406921,-0.507411,-0.607118,-0.705468
-0.040555,-0.118537,-0.209757,-0.307071,-0.406952,-0.507446,-0.607158,-0.705513
-0.040569,-0.118576,-0.209822,-0.307161,-0.407065,-0.507581,-0.607312,-0.705686
-0.040588,-0.118633,-0.209923,-0.307307,-0.407256,-0.507816,-0.607589,-0.706003
-0.040604,-0.118686,-0.210024,-0.307460,-0.407464,-0.508078,-0.607906,-0.706373
-0.040614,-0.118722,-0.210094,-0.307568,-0.407613,-0.508271,-0.608142,-0.706651
-0.040620,-0.118743,-0.210131,-0.307621,-0.407682,-0.508355,-0.608242,-0.706768
-0.040629,-0.118764,-0.210161,-0.307655,-0.407717,-0.508388,-0.608272,-0.706794
-0.040642,-0.118796,-0.210210,-0.307716,-0.407786,-0.508461,-0.608347,-0.706871
-0.040655,-0.118833,-0.210273,-0.307806,-0.407901,-0.508601,-0.608511,-0.707058
-0.040659,-0.118851,-0.210311,-0.307870,-0.407995,-0.508726,-0.608668,-0.707246
-0.040658,-0.118850,-0.210315,-0.307880,-0.408015,-0.508759,-0.608714,-0.707307
-0.040655,-0.118841,-0.210296,-0.307850,-0.407971,-0.508701,-0.608643,-0.707221
-0.040645,-0.118810,-0.210239,-0.307764,-0.407855,-0.508555,-0.608466,-0.707015
-0.040629,-0.118760,-0.210147,-0.307629,-0.407677,-0.508334,-0.608205,-0.706715
-0.040616,-0.118716,-0.210064,-0.307502,-0.407505,-0.508118,-0.607944,-0.706410
-0.040612,-0.118698,-0.210024,-0.307439,-0.407415,-0.507998,-0.607795,-0.706233
-0.040620,-0.118716,-0.210052,-0.307476,-0.407459,-0.508049,-0.607851,-0.706293
-0.040627,-0.118741,-0.210105,-0.307561,-0.407581,-0.508208,-0.608047,-0.706524
-0.040605,-0.118697,-0.210050,-0.307508,-0.407541,-0.508188,-0.608051,-0.706553
-0.040564,-0.118584,-0.209860,-0.307245,-0.407212,-0.507802,-0.607613,-0.706066
-0.040532,-0.118477,-0.209653,-0.306923,-0.406767,-0.507230,-0.606915,-0.705247
-0.040510,-0.118393,-0.209484,-0.306656,-0.406389,-0.506735,-0.606300,-0.704512
-0.040495,-0.118339,-0.209379,-0.306497,-0.406176,-0.506466,-0.605976,-0.704134
-0.040509,-0.118371,-0.209431,-0.306570,-0.406269,-0.506579,-0.606109,-0.704285
-0.040566,-0.118535,-0.209717,-0.306979,-0.406798,-0.507222,-0.606859,-0.705140
-0.040653,-0.118798,-0.210192,-0.307675,-0.407715,-0.508354,-0.608200,-0.706681
-0.040738,-0.119075,-0.210709,-0.308453,-0.408761,-0.509671,-0.609783,-0.708523
-0.040814,-0.119325,-0.211174,-0.309148,-0.409696,-0.510847,-0.611199,-0.710175
-0.040884,-0.119541,-0.211560,-0.309706,-0.410423,-0.511741,-0.612255,-0.711389
-0.040936,-0.119695,-0.211827,-0.310079,-0.410895,-0.512306,-0.612908,-0.712129
-0.040952,-0.119743,-0.211908,-0.310189,-0.411032,-0.512468,-0.613096,-0.712342
-0.040916,-0.119643,-0.211732,-0.309938,-0.410710,-0.512081,-0.612648,-0.711836
-0.040824,-0.119374,-0.211259,-0.309257,-0.409827,-0.511005,-0.611388,-0.710398
-0.040683,-0.118951,-0.210503,-0.308157,-0.408384,-0.509228,-0.609288,-0.707987
-0.040493,-0.118376,-0.209473,-0.306658,-0.406418,-0.506805,-0.606420,-0.704688
