Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.001366,-0.004386,-0.008584,-0.013449,-0.018620,-0.023826,-0.028900,-0.033817
-0.001372,-0.004402,-0.008614,-0.013491,-0.018675,-0.023893,-0.028979,-0.033907
-0.001379,-0.004424,-0.008652,-0.013548,-0.018751,-0.023987,-0.029091,-0.034036
-0.001390,-0.004456,-0.008709,-0.013630,-0.018857,-0.024117,-0.029245,-0.034212
-0.001407,-0.004506,-0.008795,-0.013751,-0.019014,-0.024307,-0.029466,-0.034464
-0.001426,-0.004562,-0.008895,-0.013898,-0.019206,-0.024545,-0.029747,-0.034787
-0.001441,-0.004608,-0.008980,-0.014026,-0.019380,-0.024765,-0.030013,-0.035096
-0.001447,-0.004631,-0.009026,-0.014097,-0.019478,-0.024891,-0.030167,-0.035279
-0.001449,-0.004635,-0.009031,-0.014104,-0.019485,-0.024899,-0.030176,-0.035289
-0.001449,-0.004632,-0.009021,-0.014080,-0.019446,-0.024841,-0.030101,-0.035197
-0.001452,-0.004635,-0.009018,-0.014068,-0.019421,-0.024801,-0.030045,-0.035125
-0.001454,-0.004639,-0.009023,-0.014075,-0.019429,-0.024810,-0.030053,-0.035133
-0.001450,-0.004631,-0.009013,-0.014066,-0.019425,-0.024813,-0.030063,-0.035150
-0.001442,-0.004612,-0.008983,-0.014026,-0.019377,-0.024759,-0.030006,-0.035089
-0.001436,-0.004591,-0.008945,-0.013968,-0.019298,-0.024659,-0.029885,-0.034948
-0.001426,-0.004560,-0.008889,-0.013886,-0.019187,-0.024520,-0.029718,-0.034755
-0.001413,-0.004523,-0.008821,-0.013786,-0.019056,-0.024358,-0.029526,-0.034534
-0.001406,-0.004498,-0.008774,-0.013713,-0.018957,-0.024232,-0.029373,-0.034355
-0.001407,-0.004499,-0.008771,-0.013705,-0.018942,-0.024208,-0.029340,-0.034312
-0.001419,-0.004530,-0.008825,-0.013783,-0.019041,-0.024329,-0.029481,-0.034472
-0.001430,-0.004567,-0.008898,-0.013897,-0.019201,-0.024533,-0.029729,-0.034763
-0.001420,-0.004552,-0.008888,-0.013903,-0.019230,-0.024592,-0.029819,-0.034884
-0.001394,-0.004484,-0.008775,-0.013745,-0.019033,-0.024361,-0.029560,-0.034597
-0.001376,-0.004419,-0.008647,-0.013541,-0.018745,-0.023987,-0.029099,-0.034054
-0.001363,-0.004373,-0.008549,-0.013380,-0.018512,-0.023675,-0.028706,-0.033582
-0.001357,-0.004348,-0.008500,-0.013305,-0.018408,-0.023541,-0.028544,-0.033390
-0.001373,-0.004389,-0.008568,-0.013402,-0.018534,-0.023696,-0.028726,-0.033598
-0.001419,-0.004522,-0.008801,-0.013738,-0.018972,-0.024231,-0.029353,-0.034313
