Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.009892,-0.028896,-0.051752,-0.076744,-0.102726,-0.128905,-0.154735,-0.180042
-0.009896,-0.028909,-0.051774,-0.076777,-0.102768,-0.128956,-0.154795,-0.180109
-0.009903,-0.028928,-0.051810,-0.076830,-0.102839,-0.129045,-0.154901,-0.180232
-0.009915,-0.028962,-0.051870,-0.076916,-0.102952,-0.129183,-0.155064,-0.180419
-0.009933,-0.029017,-0.051965,-0.077053,-0.103128,-0.129397,-0.155314,-0.180705
-0.009954,-0.029081,-0.052080,-0.077222,-0.103351,-0.129673,-0.155641,-0.181080
-0.009971,-0.029135,-0.052182,-0.077377,-0.103561,-0.129938,-0.155961,-0.181453
-0.009979,-0.029166,-0.052243,-0.077471,-0.103691,-0.130105,-0.156165,-0.181694
-0.009983,-0.029177,-0.052262,-0.077497,-0.103723,-0.130145,-0.156211,-0.181747
-0.009985,-0.029181,-0.052263,-0.077489,-0.103703,-0.130111,-0.156163,-0.181685
-0.009990,-0.029189,-0.052270,-0.077490,-0.103695,-0.130091,-0.156130,-0.181638
-0.009994,-0.029198,-0.052283,-0.077509,-0.103718,-0.130117,-0.156158,-0.181670
-0.009990,-0.029191,-0.052276,-0.077505,-0.103721,-0.130129,-0.156180,-0.181701
-0.009982,-0.029171,-0.052244,-0.077462,-0.103669,-0.130071,-0.156118,-0.181635
-0.009975,-0.029147,-0.052200,-0.077394,-0.103577,-0.129954,-0.155977,-0.181471
-0.009963,-0.029111,-0.052133,-0.077296,-0.103446,-0.129788,-0.155778,-0.181239
-0.009949,-0.029066,-0.052052,-0.077175,-0.103286,-0.129591,-0.155544,-0.180970
-0.009940,-0.029035,-0.051991,-0.077083,-0.103160,-0.129431,-0.155350,-0.180744
-0.009940,-0.029031,-0.051979,-0.077060,-0.103125,-0.129382,-0.155286,-0.180665
-0.009951,-0.029061,-0.052030,-0.077133,-0.103219,-0.129495,-0.155417,-0.180813
-0.009962,-0.029098,-0.052104,-0.077250,-0.103381,-0.129705,-0.155673,-0.181113
-0.009949,-0.029078,-0.052089,-0.077250,-0.103407,-0.129761,-0.155763,-0.181236
-0.009921,-0.029002,-0.051962,-0.077075,-0.103188,-0.129505,-0.155474,-0.180918
-0.009902,-0.028933,-0.051822,-0.076851,-0.102872,-0.129093,-0.154968,-0.180319
-0.009889,-0.028882,-0.051715,-0.076675,-0.102616,-0.128750,-0.154536,-0.179800
-0.009883,-0.028856,-0.051661,-0.076591,-0.102501,-0.128603,-0.154356,-0.179588
-0.009900,-0.028900,-0.051735,-0.076697,-0.102638,-0.128772,-0.154555,-0.179816
-0.009951,-0.029047,-0.051992,-0.077068,-0.103121,-0.129361,-0.155246,-0.180604
-0.010022,-0.029262,-0.052384,-0.077646,-0.103887,-0.130312,-0.156376,-0.181905
-0.010087,-0.029474,-0.052783,-0.078249,-0.104705,-0.131347,-0.157624,-0.183360
-0.010141,-0.029648,-0.053107,-0.078738,-0.105366,-0.132183,-0.158634,-0.184541
-0.010182,-0.029776,-0.053336,-0.079067,-0.105793,-0.132706,-0.159251,-0.185250
-0.010203,-0.029837,-0.053438,-0.079205,-0.105961,-0.132899,-0.159468,-0.185490
-0.010191,-0.029804,-0.053377,-0.079109,-0.105830,-0.132734,-0.159268,-0.185257
-0.010140,-0.029655,-0.053113,-0.078729,-0.105335,-0.132129,-0.158559,-0.184449
-0.010049,-0.029387,-0.052636,-0.078036,-0.104429,-0.131017,-0.157251,-0.182951
-0.009927,-0.029020,-0.051976,-0.077068,-0.103153,-0.129439,-0.155380,-0.180799
-0.009775,-0.028563,-0.051156,-0.075868,-0.101572,-0.127484,-0.153062,-0.178129
-0.009600,-0.028041,-0.050222,-0.074508,-0.099784,-0.125279,-0.150452,-0.175126
-0.009440,-0.027549,-0.049334,-0.073201,-0.098056,-0.123134,-0.147902,-0.172183
-0.009311,-0.027152,-0.048616,-0.072147,-0.096660,-0.121396,-0.145828,-0.169781
-0.009215,-0.026864,-0.048108,-0.071418,-0.095712,-0.120233,-0.144454,-0.168201
-0.009161,-0.026707,-0.047845,-0.071057,-0.095261,-0.119697,-0.143837,-0.167504
-0.009154,-0.026691,-0.047838,-0.071072,-0.095305,-0.119772,-0.143943,-0.167639
-0.009180,-0.026783,-0.048026,-0.071375,-0.095729,-0.120321,-0.144611,-0.168423
-0.009215,-0.026910,-0.048284,-0.071785,-0.096302,-0.121058,-0.145512,-0.169483
-0.009243,-0.027013,-0.048496,-0.072122,-0.096774,-0.121670,-0.146263,-0.170369
-0.009247,-0.027044,-0.048569,-0.072244,-0.096950,-0.121903,-0.146554,-0.170718
-0.009228,-0.026994,-0.048482,-0.072114,-0.096776,-0.121685,-0.146294,-0.170418
-0.009203,-0.026910,-0.048318,-0.071853,-0.096407,-0.121204,-0.145703,-0.169720
