Node_1001,Node_1002,Node_1003,Node_1004,Node_1005,Node_1006,Node_1007,Node_1008
-0.010439,-0.030470,-0.054629,-0.081189,-0.108929,-0.136988,-0.164777,-0.192104
-0.010443,-0.030482,-0.054649,-0.081218,-0.108966,-0.137033,-0.164828,-0.192163
-0.010449,-0.030501,-0.054683,-0.081269,-0.109035,-0.137119,-0.164931,-0.192282
-0.010461,-0.030535,-0.054744,-0.081357,-0.109148,-0.137258,-0.165096,-0.192471
-0.010480,-0.030591,-0.054842,-0.081497,-0.109330,-0.137479,-0.165354,-0.192765
-0.010502,-0.030657,-0.054962,-0.081674,-0.109563,-0.137767,-0.165695,-0.193157
-0.010519,-0.030714,-0.055069,-0.081836,-0.109783,-0.138046,-0.166032,-0.193550
-0.010528,-0.030748,-0.055135,-0.081938,-0.109923,-0.138226,-0.166252,-0.193809
-0.010532,-0.030760,-0.055157,-0.081969,-0.109963,-0.138274,-0.166309,-0.193875
-0.010536,-0.030766,-0.055161,-0.081966,-0.109949,-0.138247,-0.166268,-0.193821
-0.010541,-0.030777,-0.055171,-0.081972,-0.109946,-0.138233,-0.166242,-0.193782
-0.010545,-0.030787,-0.055188,-0.081994,-0.109974,-0.138266,-0.166278,-0.193822
-0.010542,-0.030781,-0.055183,-0.081993,-0.109981,-0.138282,-0.166305,-0.193860
-0.010534,-0.030760,-0.055149,-0.081949,-0.109928,-0.138224,-0.166243,-0.193795
-0.010526,-0.030736,-0.055104,-0.081879,-0.109833,-0.138103,-0.166097,-0.193624
-0.010514,-0.030698,-0.055035,-0.081776,-0.109695,-0.137929,-0.165888,-0.193380
-0.010499,-0.030651,-0.054948,-0.081649,-0.109527,-0.137721,-0.165641,-0.193096
-0.010489,-0.030618,-0.054884,-0.081550,-0.109392,-0.137549,-0.165433,-0.192854
-0.010489,-0.030612,-0.054869,-0.081523,-0.109351,-0.137493,-0.165360,-0.192764
-0.010500,-0.030642,-0.054919,-0.081595,-0.109443,-0.137604,-0.165489,-0.192909
-0.010511,-0.030679,-0.054994,-0.081713,-0.109608,-0.137817,-0.165749,-0.193215
-0.010498,-0.030658,-0.054976,-0.081711,-0.109631,-0.137872,-0.165839,-0.193339
-0.010468,-0.030578,-0.054844,-0.081528,-0.109403,-0.137605,-0.165537,-0.193006
-0.010448,-0.030506,-0.054699,-0.081296,-0.109075,-0.137177,-0.165010,-0.192383
-0.010435,-0.030454,-0.054588,-0.081113,-0.108809,-0.136821,-0.164562,-0.191843
-0.010429,-0.030427,-0.054532,-0.081025,-0.108689,-0.136667,-0.164374,-0.191622
-0.010447,-0.030473,-0.054609,-0.081135,-0.108831,-0.136841,-0.164579,-0.191857
-0.010500,-0.030625,-0.054875,-0.081519,-0.109331,-0.137453,-0.165296,-0.192675
-0.010573,-0.030849,-0.055281,-0.082120,-0.110128,-0.138442,-0.166471,-0.194030
-0.010642,-0.031070,-0.055698,-0.082750,-0.110982,-0.139522,-0.167774,-0.195549
-0.010698,-0.031253,-0.056041,-0.083266,-0.111678,-0.140402,-0.168837,-0.196791
-0.010742,-0.031391,-0.056286,-0.083619,-0.112137,-0.140964,-0.169500,-0.197552
-0.010766,-0.031461,-0.056403,-0.083776,-0.112329,-0.141188,-0.169752,-0.197832
-0.010756,-0.031433,-0.056350,-0.083693,-0.112214,-0.141040,-0.169573,-0.197624
-0.010705,-0.031284,-0.056086,-0.083312,-0.111718,-0.140434,-0.168864,-0.196814
-0.010611,-0.031009,-0.055598,-0.082603,-0.110790,-0.139296,-0.167523,-0.195279
-0.010485,-0.030630,-0.054915,-0.081601,-0.109469,-0.137662,-0.165587,-0.193050
-0.010326,-0.030152,-0.054058,-0.080348,-0.107820,-0.135622,-0.163168,-0.190265
-0.010143,-0.029603,-0.053076,-0.078917,-0.105940,-0.133304,-0.160424,-0.187109
-0.009973,-0.029081,-0.052133,-0.077531,-0.104107,-0.131029,-0.157719,-0.183986
-0.009834,-0.028653,-0.051360,-0.076396,-0.102604,-0.129158,-0.155487,-0.181401
-0.009728,-0.028335,-0.050800,-0.075591,-0.101556,-0.127872,-0.153967,-0.179652
-0.009665,-0.028152,-0.050490,-0.075163,-0.101018,-0.127229,-0.153224,-0.178811
-0.009651,-0.028115,-0.050447,-0.075126,-0.100995,-0.127223,-0.153235,-0.178837
-0.009671,-0.028192,-0.050610,-0.075395,-0.101377,-0.127721,-0.153844,-0.179555
-0.009704,-0.028309,-0.050854,-0.075788,-0.101929,-0.128436,-0.154721,-0.180587
-0.009729,-0.028408,-0.051060,-0.076119,-0.102397,-0.129044,-0.155469,-0.181473
-0.009732,-0.028437,-0.051132,-0.076242,-0.102575,-0.129282,-0.155768,-0.181833
-0.009713,-0.028388,-0.051048,-0.076117,-0.102407,-0.129072,-0.155518,-0.181545
-0.009690,-0.028308,-0.050889,-0.075863,-0.102049,-0.128603,-0.154940,-0.180861
-0.009672,-0.028240,-0.050749,-0.075635,-0.101721,-0.128170,-0.154399,-0.180215
-0.009663,-0.028206,-0.050679,-0.075523,-0.101563,-0.127964,-0.154145,-0.179912
-0.009665,-0.028212,-0.050692,-0.075549,-0.101605,-0.128023,-0.154221,-0.180004
-0.009692,-0.028289,-0.050832,-0.075756,-0.101882,-0.128370,-0.154636,-0.180485
-0.009761,-0.028487,-0.051174,-0.076245,-0.102513,-0.129136,-0.155531,-0.181503
-0.009876,-0.028818,-0.051755,-0.077080,-0.103597,-0.130457,-0.157078,-0.183269
-0.010036,-0.029287,-0.052586,-0.078284,-0.105171,-0.132392,-0.159360,-0.185886
-0.010243,-0.029901,-0.053674,-0.079863,-0.107237,-0.134934,-0.162364,-0.189335
-0.010497,-0.030654,-0.055006,-0.081790,-0.109755,-0.138029,-0.166017,-0.193528
-0.010791,-0.031526,-0.056546,-0.084014,-0.112656,-0.141591,-0.170217,-0.198348
-0.011079,-0.032402,-0.058112,-0.086291,-0.115646,-0.145280,-0.174585,-0.203374
-0.011290,-0.033074,-0.059344,-0.088117,-0.118078,-0.148319,-0.178222,-0.207593
-0.011383,-0.033392,-0.059943,-0.089017,-0.119295,-0.149863,-0.180096,-0.209793
-0.011327,-0.033251,-0.059699,-0.088663,-0.118839,-0.149315,-0.179466,-0.209090
-0.011089,-0.032550,-0.058445,-0.086831,-0.116429,-0.146346,-0.175960,-0.205070
-0.010657,-0.031268,-0.056155,-0.083488,-0.112039,-0.140934,-0.169566,-0.197731
-0.010107,-0.029598,-0.053136,-0.079046,-0.106161,-0.133645,-0.160908,-0.187748
-0.009557,-0.027883,-0.049981,-0.074343,-0.099871,-0.125771,-0.151479,-0.176805
-0.009051,-0.026303,-0.047085,-0.070039,-0.094124,-0.118574,-0.142851,-0.166772
-0.008598,-0.024918,-0.044597,-0.066411,-0.089352,-0.112669,-0.135830,-0.158653
-0.008232,-0.023819,-0.042666,-0.063645,-0.085767,-0.108284,-0.130661,-0.152714
-0.007977,-0.023070,-0.041385,-0.061850,-0.083474,-0.105506,-0.127410,-0.148996
-0.007836,-0.022676,-0.040754,-0.061015,-0.082453,-0.104311,-0.126045,-0.147463
-0.007797,-0.022603,-0.040711,-0.061049,-0.082587,-0.104555,-0.126399,-0.147923
-0.007846,-0.022801,-0.041154,-0.061790,-0.083649,-0.105942,-0.128106,-0.149939
-0.007948,-0.023159,-0.041879,-0.062933,-0.085229,-0.107960,-0.130552,-0.152797
-0.008088,-0.023616,-0.042753,-0.064260,-0.087019,-0.110209,-0.133249,-0.155929
-0.008308,-0.024268,-0.043916,-0.065942,-0.089205,-0.112881,-0.136388,-0.159519
-0.008617,-0.025172,-0.045500,-0.068209,-0.092128,-0.116427,-0.140525,-0.164225
-0.009013,-0.026339,-0.047560,-0.071176,-0.095987,-0.121147,-0.146072,-0.170569
-0.009516,-0.027825,-0.050184,-0.074968,-0.100936,-0.127222,-0.153235,-0.178788
-0.010136,-0.029665,-0.053435,-0.079662,-0.107057,-0.134734,-0.162094,-0.188953
